,Name,Team,Threat per fixture adj,Threat per game adj,Team games,Played,Threat GW5 adj,Threat GW4 adj*,Threat GW4 adj,Threat GW3 adj,Threat GW2 adj,Threat GW1 adj
371,Charlie Austin,West Brom,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
372,Kamil Grosicki,West Brom,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
373,Oliver Skipp,Spurs,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
374,Kieran Gibbs,West Brom,0.0,0.0,5,2,0.0,,0.0,0.0,0.0,0.0
375,David Button,West Brom,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
376,Joe Rodon,Spurs,0.0,0.0,5,0,,,,,,
377,Simon Moore,Sheffield Utd,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
378,Carlos Vinicius Alves Morais,Spurs,0.0,0.0,5,0,0.0,,,,,
379,Oliver Norwood,Sheffield Utd,0.0,0.0,5,3,0.0,,0.0,0.0,0.0,0.0
380,Wes Foderingham,Sheffield Utd,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
381,Cameron Carter-Vickers,Spurs,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
382,Joe Hart,Spurs,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
383,Juan Foyth,Spurs,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
384,Jack O'Connell,Sheffield Utd,0.0,0.0,5,2,0.0,,0.0,0.0,0.0,0.0
385,Mesut Ozil,Arsenal,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
386,Elia Caprile,Leeds,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,
387,Alex Nicolao Telles,Man Utd,0.0,0.0,4,0,0.0,,,,,
388,Will Norris,Burnley,0.0,0.0,4,0,0.0,,,,,
389,Edouard Mendy,Chelsea,0.0,0.0,5,1,0.0,,0.0,0.0,,
390,Thiago Thiago,Chelsea,0.0,0.0,5,2,0.0,,0.0,0.0,0.0,0.0
391,Billy Gilmour,Chelsea,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
392,Fikayo Tomori,Chelsea,0.0,0.0,5,1,0.0,,0.0,0.0,0.0,0.0
393,Hakim Ziyech,Chelsea,0.0,0.0,5,1,0.0,,0.0,0.0,0.0,0.0
394,Kepa Arrizabalaga,Chelsea,0.0,0.0,5,3,0.0,,0.0,0.0,0.0,0.0
395,Emerson Palmieri dos Santos,Chelsea,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
396,Antonio Rudiger,Chelsea,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
397,Olivier Giroud,Chelsea,0.0,0.0,5,1,0.0,,0.0,0.0,0.0,0.0
398,Willy Caballero,Chelsea,0.0,0.0,5,1,0.0,,0.0,0.0,0.0,0.0
399,Mace Goodridge,Burnley,0.0,0.0,4,0,0.0,,0.0,0.0,,
400,Jayson Molumby,Brighton,0.0,0.0,5,0,0.0,,0.0,0.0,,
401,Anthony Driscoll-Glennon,Burnley,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
402,Josh Benson,Burnley,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
403,Bobby Thomas,Burnley,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
404,Bailey Peacock-Farrell,Burnley,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
405,Nick Pope,Burnley,0.0,0.0,4,4,0.0,,0.0,0.0,0.0,
406,Ben Gibson,Burnley,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
407,Matthew Lowton,Burnley,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
408,Ben Mee,Burnley,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
409,Jack Cork,Burnley,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
410,Danny Welbeck,Brighton,0.0,0.0,5,0,,,,,,
411,Gary Cahill,Crystal Palace,0.0,0.0,5,1,0.0,,0.0,0.0,0.0,0.0
412,Wayne Hennessey,Crystal Palace,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
413,Vicente Guaita,Crystal Palace,0.0,0.0,5,5,0.0,,0.0,0.0,0.0,0.0
414,James Tomkins,Crystal Palace,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
415,Bernard Anicio Caldeira Duarte,Everton,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
416,Cenk Tosun,Everton,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
417,Jonas Lossl,Everton,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
418,Fabian Delph,Everton,0.0,0.0,5,1,0.0,,0.0,0.0,0.0,0.0
419,Jack Butland,Crystal Palace,0.0,0.0,5,0,,,,,,
420,Stephen Henderson,Crystal Palace,0.0,0.0,5,0,0.0,,,,,
421,Nathaniel Clyne,Crystal Palace,0.0,0.0,5,0,0.0,,,,,
422,Ryan Inniss,Crystal Palace,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,
423,Sam Woods,Crystal Palace,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
424,Scott Dann,Crystal Palace,0.0,0.0,5,1,0.0,,0.0,0.0,0.0,0.0
425,Brandon Pierrick,Crystal Palace,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
426,Tyrick Mitchell,Crystal Palace,0.0,0.0,5,5,0.0,,0.0,0.0,0.0,0.0
427,Nathan Ferguson,Crystal Palace,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
