,Name,Team,Creativity per fixture adj,Creativity per game adj,Team games,Played,Creativity GW4 adj,Creativity GW3 adj,Creativity GW2 adj,Creativity GW1 adj
192,Ben White,Brighton,0.8785641740479297,0.8785641740479297,4,4,0.0,3.514256696191719,0.0,0.0
193,Rodrigo Hernandez,Man City,0.8253825580466937,0.8253825580466937,3,3,0.0,0.0,2.476147674140081,
194,Luke Shaw,Man Utd,0.7808806372702718,0.7808806372702718,3,3,2.3426419118108153,0.0,0.0,
195,Moussa Sissoko,Spurs,0.7781523587389121,1.5563047174778242,4,2,3.1126094349556483,0.0,0.0,0.0
196,Diogo Jota,Liverpool,0.7681859159820745,1.536371831964149,4,2,3.072743663928298,0.0,0.0,0.0
197,James Milner,Liverpool,0.7283113669628182,0.9710818226170909,4,3,2.9132454678512727,0.0,0.0,0.0
198,James Maddison,Leicester,0.6674602120286468,0.8899469493715291,4,3,0.0,0.0,0.0,2.669840848114587
199,Kevin Long,Burnley,0.6570583478949845,0.6570583478949845,3,3,0.0,0.0,1.9711750436849536,
200,Curtis Jones,Liverpool,0.6076600583865962,1.2153201167731924,4,2,0.0,0.0,0.0,2.430640233546385
201,Cesar Azpilicueta,Chelsea,0.6073432643925729,0.8097910191900972,4,3,1.72987285057956,0.6995002069907319,0.0,0.0
202,Tammy Abraham,Chelsea,0.5968137092991843,0.7957516123989125,4,3,2.3872548371967373,0.0,0.0,0.0
203,Dara O'Shea,West Brom,0.584055905641931,0.584055905641931,4,4,2.336223622567724,0.0,0.0,0.0
204,Jordan Pickford,Everton,0.5795795601823196,0.5795795601823196,4,4,2.3183182407292784,0.0,0.0,0.0
205,Vitor Ferreira,Wolves,0.5660280593627818,1.1320561187255636,4,2,0.0,2.264112237451127,0.0,0.0
206,Fabio Silva,Wolves,0.480568986860187,0.961137973720374,4,2,0.0,1.922275947440748,0.0,0.0
207,Harry Winks,Spurs,0.4799752893599207,0.6399670524798943,4,3,0.0,1.9199011574396827,0.0,0.0
208,Harrison Reed,Fulham,0.46695727497975437,0.9339145499595087,4,2,0.0,0.0,1.8678290999190175,0.0
209,Nathan Ake,Man City,0.4553298566427892,0.4553298566427892,3,3,1.3659895699283675,0.0,0.0,
210,Marcos Alonso,Chelsea,0.4442284946032026,0.5923046594709368,4,3,0.0,0.3979348038163663,1.378979174596444,0.0
211,Tanguy Ndombele,Spurs,0.43852752625658237,0.43852752625658237,4,4,1.7541101050263295,0.0,0.0,0.0
212,Michael Hector,Fulham,0.38646707904301336,0.5152894387240178,4,3,0.0,0.0,1.5458683161720534,0.0
213,Allan Marques Loureiro,Everton,0.3628903433617754,0.4838537911490339,4,3,0.0,1.4515613734471016,0.0,0.0
214,Cheikhou Kouyate,Crystal Palace,0.32105832671713713,0.32105832671713713,4,4,0.0,0.0,1.2842333068685485,0.0
215,Eric Garcia,Man City,0.3148707090777884,0.9446121272333652,3,1,0.0,0.9446121272333652,0.0,
216,Oliver Norwood,Sheffield Utd,0.3107438184744255,0.621487636948851,4,2,0.0,0.0,0.0,1.242975273897702
217,Mark Noble,West Ham,0.2769988812696715,0.3693318416928953,4,3,0.0,0.0,0.0,1.107995525078686
218,Isaac Hayden,Newcastle,0.2709819175807642,0.2709819175807642,4,4,0.0,0.0,1.0839276703230567,0.0
219,Joel Ward,Crystal Palace,0.17417489716750914,0.17417489716750914,4,4,0.0,0.0,0.6966995886700366,0.0
