,Name,Team,Position,xG per fixture adj,xG per game adj,Team games,Played,GW9,GW8,GW6,GW5,GW4,GW3,GW2,GW1
118,Marcus Tavernier,Bournemouth,Midfielder,8.340564451142209,8.340564451142209,7,7,8.550399176242413,12.571458388383709,16.94874806891274,7.9212715659817015,0.0,20.942473134717304,0.0,0.0
119,Adam Lallana,Brighton,Midfielder,8.212510962810507,16.425021925621014,6,3,14.979953514906015,,0.0,0.0,0.0,0.0,49.27506577686304,0.0
120,Richarlison de Andrade,Spurs,Forward,7.979108013813731,9.308959349449353,7,6,6.279093489955622,7.104783697336149,19.567372863628417,0.0,20.43652269220474,8.74507684352681,0.0,0.0
121,Moussa Niakhate,Nott'm Forest,Defender,7.7768722246284145,27.219052786199452,7,2,30.03487771843062,0.0,0.0,0.0,0.0,0.0,54.438105572398904,0.0
122,Leander Dendoncker,Aston Villa,Midfielder,7.282486887491144,10.195481642487602,7,5,11.170215293521577,0.0,0.0,0.0,0.0,0.0,0.0,50.97740821243801
123,Elliot Anderson,Newcastle,Midfielder,7.2742946299899085,16.97335413664312,7,3,19.61019854214554,0.0,0.0,0.0,50.92006240992936,0.0,0.0,0.0
124,Ryan Yates,Nott'm Forest,Midfielder,7.239717009614909,10.135603813460872,7,5,11.184137211935003,10.170954338931272,0.0,0.0,21.701656127607077,18.80540860076601,0.0,0.0
125,Nathan Patterson,Everton,Defender,7.088485578694616,7.088485578694616,7,7,7.6009307838719185,0.0,7.940233441826972,31.265479611406516,3.8320814729545143,0.0,6.581604524674314,0.0
126,Timothy Castagne,Leicester,Defender,7.068052582371569,8.246061346100165,7,6,12.085833386308432,0.0,0.0,0.0,43.89510944876498,0.0,0.0,5.581258627836005
127,Maxwel Cornet,West Ham,Midfielder,6.856205187800512,10.284307781700768,6,4,8.673318368191046,11.711403805599415,29.425827321203656,0.0,0.0,0.0,0.0,
128,Harrison Reed,Fulham,Midfielder,6.794451741770198,6.794451741770198,7,7,6.96237823722944,21.11078918951504,0.0,0.0,0.0,17.07253734848752,0.0,9.37783565438883
129,Andreas Hoelgebaum Pereira,Fulham,Midfielder,6.669399032526544,6.669399032526544,7,7,6.834234820448359,11.016425617029888,1.5501590453053786,5.909729301936531,4.580376635765337,18.076122940435603,0.0,5.552979687213079
130,Ben Chilwell,Chelsea,Defender,6.624248474255366,7.949098169106439,6,5,8.423770340389044,,39.745490845532196,0.0,0.0,0.0,0.0,0.0
131,Riyad Mahrez,Man City,Midfielder,6.225722839265168,7.263343312476029,7,6,6.164080062657229,1.6177321374956615,0.0,35.99014855674528,0.0,0.0,5.9721791806152265,0.0
132,Ruben Gato Alves Dias,Man City,Defender,6.219145788017064,6.219145788017064,7,7,5.277915542395916,0.0,0.0,0.0,0.0,42.47458185192083,1.059438664198615,0.0
133,Ruben da Silva Neves,Wolves,Midfielder,6.124117969138196,6.124117969138196,7,7,4.820231911695023,14.726984520236469,0.0,1.4641627906989567,9.015261814194892,12.177131887743135,4.419276719772113,1.066008051321806
134,Kieran Trippier,Newcastle,Defender,5.824013038886576,5.824013038886576,7,7,6.7287850760178545,4.383133654703483,4.560338480377877,11.727942264081761,0.0,16.386603649271095,0.0,3.710073223771812
135,Vitalii Mykolenko,Everton,Defender,5.813649561888846,5.813649561888846,7,7,6.233933529387543,1.4695899710573623,0.0,1.3212032233613027,29.980679406439904,0.0,0.0,7.924074332363362
136,Will Hughes,Crystal Palace,Midfielder,5.77197681676481,8.657965225147215,6,4,11.357856439357,,0.0,0.0,0.0,34.63186090058886,0.0,0.0
137,Mohammed Salisu,Southampton,Defender,5.763161358874762,5.763161358874762,7,7,7.1380222495362355,0.0,0.0,23.658953403761405,4.551310811725779,6.018540546027264,0.0,6.113324750608892
138,Kurt Zouma,West Ham,Defender,5.712216384702188,5.712216384702188,7,7,4.81742401571008,8.535018120248628,0.0,7.030120482121108,0.0,19.861970946666574,4.558405143879007,0.0
139,Joao Palhinha Goncalves,Fulham,Midfielder,5.518629369420645,5.518629369420645,7,7,5.655023610628959,2.0516022148221134,0.0,7.454359062428616,10.9652243798908,3.1213961212211174,0.0,15.037823807581873
140,Rico Henry,Brentford,Defender,5.4709843812848105,5.4709843812848105,7,7,6.201428409128767,0.0,2.0027804556779847,23.435071298912675,0.0,3.7775066431353705,9.081532271267642,0.0
141,Adam Smith,Bournemouth,Defender,5.466519274853204,5.466519274853204,7,7,5.604047804968058,0.0,0.0,0.0,0.0,0.0,13.755463683501633,24.510171240470797
142,Moises Caicedo Corozo,Brighton,Midfielder,5.417663527991372,5.417663527991372,6,6,4.941019146045616,,29.310631605724176,0.0,0.0,1.7836376010697006,1.4117119611543534,0.0
143,Scott McTominay,Man Utd,Midfielder,5.362111664660808,5.362111664660808,6,6,2.485181172842515,,0.0,0.0,21.56232499399707,0.0,0.0,10.610344993967777
144,Said Benrahma,West Ham,Midfielder,5.3280171623247465,5.3280171623247465,7,7,4.4934078307393985,1.4438448098458756,0.0,8.405631341772754,2.6058167452590384,11.763719776811733,7.132015904806164,5.94509155777766
145,Rodrigo Hernandez,Man City,Midfielder,5.296662488605512,5.296662488605512,7,7,4.495044532530543,2.8348706022725345,5.3446578576733135,3.2236128880221924,0.0,15.791300845104624,7.701945811767677,2.1802494153982406
146,Christian Nørgaard,Brentford,Midfielder,5.245208733663709,9.179115283911491,7,4,10.404640614044085,0.0,0.0,0.0,15.056966954064292,21.65949418158167,0.0,0.0
147,Emerson Leite de Souza Junior,Spurs,Defender,5.177829024847304,5.177829024847304,7,7,3.492557148608146,0.0,0.0,5.308346720074818,0.0,14.351469281581334,0.0,16.58498717227497
148,Jordan Ayew,Crystal Palace,Midfielder,5.164546946857692,5.164546946857692,6,6,6.7750541000506015,,2.3465325234133756,0.0,0.0,17.845599375564916,0.0,10.79514978216786
149,Kyle Walker-Peters,Southampton,Defender,5.148551089242452,5.148551089242452,7,7,6.37679043487029,0.0,0.0,2.188572218732419,3.7349245868788654,0.0,30.11636081908588,0.0
150,Marc Cucurella Saseta,Chelsea,Defender,4.9626843005428105,4.9626843005428105,6,6,5.259025858064869,,0.0,0.0,0.0,14.160283666453953,15.615822136802908,0.0
151,Rodrigo Bentancur,Spurs,Midfielder,4.932755830177475,5.754881801873721,7,6,3.881791669844048,33.44269955426227,1.0865912569800547,0.0,0.0,0.0,0.0,0.0
152,Ryan Christie,Bournemouth,Midfielder,4.870664136029307,4.870664136029307,7,7,4.99320194219651,10.78110888288094,12.557351321254073,7.38985481710131,3.366333930968821,0.0,0.0,0.0
153,Pascal Struijk,Leeds,Defender,4.775991063309056,4.775991063309056,6,6,5.220138306335089,,7.176958587165536,0.0,7.170910436537925,0.0,4.023232764391079,10.284844591759798
154,Dwight McNeil,Everton,Midfielder,4.741567516400712,4.741567516400712,7,7,5.084347862333426,0.0,6.941308291707117,2.341661793379998,5.332680325152882,5.22226623483687,13.353055969728118,0.0
155,Diego Llorente,Leeds,Defender,4.738058267684132,4.738058267684132,6,6,5.178677918976063,,0.0,5.642219756406354,17.23869966950921,1.841973312655213,3.705456867534018,0.0
156,Sekou Mara,Southampton,Forward,4.723028208228649,6.612239491520109,7,5,8.189656626054978,2.388980130373444,11.303396438554472,0.0,12.356892766942757,5.691854170404315,1.3200739513255562,0.0
157,James Ward-Prowse,Southampton,Midfielder,4.7034167191254115,4.7034167191254115,7,7,5.825464723152042,5.890978458049772,15.7162387172517,0.0,0.0,0.0,3.3299062829473796,7.986793575629024
158,Virgil van Dijk,Liverpool,Defender,4.6943857425287545,4.6943857425287545,6,6,3.478646439104989,,7.722638430639862,9.323033711443042,10.392323964857004,0.0,0.7283183482326192,0.0
159,Kalidou Koulibaly,Chelsea,Defender,4.689282452960132,5.627138943552159,6,5,5.963157722490582,,3.935957978163051,0.0,0.0,1.1364368751581195,19.614470722594817,3.4488291418448043
160,Chris Wood,Newcastle,Forward,4.553620146920511,4.553620146920511,7,7,5.261034115457737,0.0,0.0,6.743840608069083,25.131500420374493,0.0,0.0,0.0
161,James Milner,Liverpool,Midfielder,4.465452472668177,4.465452472668177,6,6,3.3090016873372807,,0.0,0.0,4.541932909337572,16.002869223788593,6.247912702882891,0.0
162,Pablo Fornals Malla,West Ham,Midfielder,4.457492733793674,4.457492733793674,7,7,3.759247041680543,0.0,3.0883304339641224,15.445393103775995,3.003561214887443,6.688139496239129,2.9770248876890326,0.0
163,Mathias Jensen,Brentford,Midfielder,4.451671369620672,4.451671369620672,7,7,5.046024513268236,0.0,2.3377033576361996,0.0,2.85954617508813,0.0,25.96445005462037,0.0
164,Joao Filipe Iria Santos Moutinho,Wolves,Midfielder,4.352809839479202,6.093933775270883,7,5,4.796474235039998,12.350159304732573,0.0,16.14942571899053,1.9700838526313147,0.0,0.0,0.0
165,Lewis O'Brien,Nott'm Forest,Midfielder,4.347214187842114,5.071749885815801,7,6,5.596425005508486,22.09641333112348,0.0,0.0,2.1540244133727526,4.5882298153718235,0.0,1.5918317550267467
166,Sam Greenwood,Leeds,Forward,4.331399263721417,8.662798527442835,6,3,9.468402648525073,,9.803906394899716,0.0,0.0,0.0,0.0,16.184489187428788
