,Name,Team,Position,xG per fixture,xG per game,Team games,Played,GW7*,GW7,GW6,GW5,GW4,GW3,GW2,GW1
173,Issa Kabore,Luton,Defender,3.574933484196663,3.574933484196663,5,5,3.283732031684487,4.179958071783658,5.685992166399956,6.1518654227256775,0.0,4.118504002690314,,1.918305829167366
174,Christian Eriksen,Man Utd,Midfielder,3.4596980238954225,4.151637628674507,6,5,,4.129183693781146,0.0,0.0,4.675746336579324,16.082441806793213,0.0,0.0
175,William Osula,Sheffield Utd,Forward,3.345914122958978,6.691828245917956,6,3,,10.525896154351532,0.0,0.0,0.0,0.0,5.275612697005271,14.799872040748596
176,James McAtee,Sheffield Utd,Midfielder,3.227242330710093,6.454484661420186,6,3,,8.302114916850877,0.0,19.36345398426056,0.0,0.0,0.0,0.0
177,Jacob Bruun Larsen,Burnley,Midfielder,3.18351773545146,3.979397169314325,5,4,5.84749438425712,2.4800177264662966,7.809389382600784,0.0,6.807383149862289,0.0,,1.3008161447942257
178,Aleksandar Mitrovic,Fulham,Forward,3.183124214410782,19.09874528646469,6,1,,14.330625122779075,0.0,0.0,0.0,0.0,0.0,19.09874528646469
179,Ian Maatsen,Chelsea,Midfielder,3.174856615563234,4.7622849233448505,6,4,,4.508811940809317,0.0,15.08907675743103,3.960062935948372,0.0,0.0,0.0
180,Andreas Hoelgebaum Pereira,Fulham,Midfielder,3.110851921762029,3.110851921762029,6,6,,3.2354432583132735,16.290247440338135,0.0,0.0,1.3354857452213764,1.0393783450126648,0.0
181,Divock Origi,Nott'm Forest,Forward,3.019116446375847,3.019116446375847,2,2,,5.759350090619986,6.038232892751694,0.0,,,,
182,Joachim Andersen,Crystal Palace,Defender,3.0002414559324584,3.0002414559324584,6,6,,2.6554027185070073,3.12967486679554,0.0,0.0,6.9295868277549735,0.0,7.942187041044235
183,Anass Zaroury,Burnley,Midfielder,2.962566167116165,7.406415417790413,5,2,15.184975551644296,6.440195760670146,0.0,8.414456248283386,0.0,0.0,,6.3983745872974405
184,Alfie Doughty,Luton,Defender,2.940971292555332,2.940971292555332,5,5,2.050146648072447,2.609691335122325,12.625403702259064,0.0,2.0794527605175968,0.0,,0.0
185,Amadou Onana,Everton,Midfielder,2.8428728381792703,2.8428728381792703,6,6,,3.1884809120643864,6.670815497636795,0.0,2.660469524562359,5.111025273799896,0.0,2.6149267330765724
186,Scott McKenna,Nott'm Forest,Defender,2.8347292294104895,3.4016750752925873,6,5,,2.1239819256617762,0.0,6.4486049115657815,0.0,0.0,10.559770464897156,0.0
187,Jarrad Branthwaite,Everton,Defender,2.812343587478001,4.218515381217002,6,4,,3.8904216028324607,0.0,0.0,0.0,16.874061524868008,0.0,0.0
188,Joao Victor Gomes da Silva,Wolves,Midfielder,2.7839886024594307,2.7839886024594307,6,6,,2.254830264060249,0.0,1.2938138097524643,4.17337529361248,6.7105889320373535,2.7802709490060806,1.7458826303482056
189,Trent Alexander-Arnold,Liverpool,Defender,2.767013447980086,4.150520171970129,6,4,,3.909967942365213,0.0,0.0,5.299083516001701,0.0,11.302997171878815,0.0
190,Jeremy Doku,Man City,Midfielder,2.672460675239563,3.5632809003194175,4,3,,3.1545112144368423,0.0,10.689842700958252,0.0,0.0,,
191,Hugo Bueno Lopez,Wolves,Defender,2.6344678985575833,2.6344678985575833,6,6,,1.8473606299127943,0.0,0.0,0.0,0.0,13.92747163772583,1.8793357536196709
192,Idrissa Gueye,Everton,Midfielder,2.5322841169933477,2.5322841169933477,6,6,,3.777129489854568,2.2698929533362393,5.75159452855587,0.0,0.0,0.0,7.172217220067978
193,Fabian Schar,Newcastle,Defender,2.524903106192748,2.524903106192748,6,6,,2.8628186475778765,2.807696536183357,1.249760389328003,0.8965693414211273,10.195392370224,0.0,0.0
194,Yasser Larouci,Sheffield Utd,Defender,2.5002451613545413,3.750367742031812,6,4,,6.0105457312636315,0.0,0.0,10.443293303251265,4.558177664875983,0.0,0.0
