,Name,Team,Position,xA per fixture,xA per game,Team games,Played,GW12,GW11,GW10,GW9,GW8,GW6,GW5,GW4,GW3,GW2,GW1
326,Alejandro Garnacho,Man Utd,Midfielder,0.0,0.0,9,1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
327,Victor Lindelof,Man Utd,Defender,0.0,0.0,9,2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
328,Jonjo Shelvey,Newcastle,Midfielder,0.0,0.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
329,Aaron Wan-Bissaka,Man Utd,Defender,0.0,0.0,9,1,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
330,Tyrell Malacia,Man Utd,Defender,0.0,0.0,9,7,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
331,Jose Malheiro de Sa,Wolves,Goalkeeper,0.0,0.0,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
332,Donny van de Beek,Man Utd,Midfielder,0.0,0.0,9,3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
333,Matej Kovar,Man Utd,Goalkeeper,0.0,0.0,5,0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,
334,Martin Dubravka,Man Utd,Goalkeeper,0.0,0.0,9,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
335,Eric Bailly,Man Utd,Defender,0.0,0.0,9,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
336,Tom Heaton,Man Utd,Goalkeeper,0.0,0.0,9,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
337,Kobbie Mainoo,Man Utd,Midfielder,0.0,0.0,1,0,0.0,0.0,,,,,,,,,
338,Alex Telles,Man Utd,Defender,0.0,0.0,9,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
339,Facundo Pellistri Rebollo,Man Utd,Midfielder,0.0,0.0,9,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
340,Juan Larios Lopez,Southampton,Defender,0.0,0.0,5,3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
341,Maxwel Cornet,West Ham,Midfielder,0.0,0.0,9,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
342,Omar Richards,Nott'm Forest,Defender,0.0,0.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343,Theo Walcott,Southampton,Midfielder,0.0,0.0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
344,Ainsley Maitland-Niles,Southampton,Midfielder,0.0,0.0,10,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345,Loic Bade,Nott'm Forest,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
