,Name,Team,Position,xA per fixture,xA per game,Team games,Played,GW38,GW37,GW36,GW35**,GW35*,GW35,GW34,GW33,GW32*,GW32,GW31,GW30,GW29,GW28,GW27*,GW27,GW26*,GW26,GW25*,GW25,GW24*,GW24,GW23,GW22,GW21,GW20,GW19*,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
69,Gabriel Fernando de Jesus,Man City,4,12.302631578947368,16.120689655172413,38,29,27.3,0.7,24.5,,,14.3,24.4,,,13.3,31.9,37.3,,10.4,0.0,14.1,23.7,1.1,,12.3,19.7,9.5,11.1,6.3,16.1,14.1,10.9,27.8,1.5,0.0,,0.0,0.0,12.8,13.3,21.9,23.4,16.3,13.7,0.0,0.0,0.0,0.0,0.0,13.8,
70,Ruben Diogo da Silva Neves,Wolves,3,11.973684210526317,12.638888888888891,38,36,18.5,16.1,10.4,,,3.3,38.1,22.8,,0.0,2.3,35.3,,1.4,,3.0,1.1,24.0,,1.8,,12.0,16.3,2.8,0.0,0.4,,0.8,14.6,11.7,16.5,25.9,32.5,14.3,0.2,1.2,0.3,11.8,13.8,44.4,25.8,0.0,2.7,7.0,11.6,10.3
71,Stuart Dallas,Leeds,2,11.963157894736847,11.963157894736847,38,38,16.8,1.3,2.3,,,42.5,27.6,2.8,,2.1,1.3,14.5,6.3,11.6,,30.1,,5.9,11.6,2.3,,5.3,27.6,30.3,5.8,15.6,,3.1,,3.2,29.3,0.9,6.5,10.6,14.3,2.5,38.3,19.6,3.7,5.4,13.3,3.8,12.2,19.3,3.7,1.3
72,Miguel Almiron,Newcastle,3,11.771052631578947,13.155882352941175,38,34,2.3,16.0,11.3,,,15.5,2.0,1.2,,36.4,1.8,5.7,13.2,0.0,,0.0,,12.8,,12.5,,7.4,2.2,31.3,41.7,32.8,26.8,12.7,0.0,3.9,0.3,31.3,12.4,0.5,5.3,,2.5,11.6,1.1,12.5,13.1,0.6,0.0,14.4,40.8,11.4
73,Neal Maupay,Brighton,4,11.663157894736841,13.430303030303028,38,33,0.0,0.0,0.0,,,3.8,13.0,13.9,,10.6,33.0,16.9,32.8,1.9,,14.7,,28.3,,34.1,,22.2,12.3,12.9,23.6,21.8,,12.3,0.0,2.3,0.6,6.2,12.1,0.0,2.8,10.4,14.6,3.5,6.5,0.0,2.8,13.2,5.8,38.7,14.6,1.0
74,Pablo Fornals,West Ham,3,11.613157894736842,13.372727272727273,38,33,33.8,12.4,17.1,,,45.3,38.4,15.1,,18.1,1.4,2.3,0.0,0.0,,11.8,,12.7,,12.1,,0.0,0.0,1.3,4.7,46.7,12.1,3.8,,13.0,16.6,0.0,2.3,10.8,6.4,2.5,0.5,19.1,2.3,2.8,11.8,3.0,35.8,10.6,12.8,1.9
75,Nelson Cabral Semedo,Wolves,2,11.469444444444447,12.144117647058826,36,34,23.6,3.9,2.0,,,0.0,14.8,14.4,,13.3,32.6,19.8,,17.8,,3.9,1.1,5.1,,23.0,,12.3,3.3,8.9,13.3,0.1,,4.8,14.6,13.5,0.0,19.6,3.3,3.2,12.3,3.9,12.2,16.8,29.7,24.4,28.3,0.2,9.5,3.4,,
76,Wilfried Zaha,Crystal Palace,3,11.276315789473683,14.283333333333331,38,30,0.3,26.7,33.2,,2.8,24.8,12.4,13.2,,,2.2,35.9,,16.4,,0.5,0.0,0.0,,0.0,,0.0,0.0,2.3,17.2,8.1,,0.0,2.9,25.3,4.0,11.7,12.3,4.8,2.1,6.6,0.0,0.0,35.7,18.9,47.3,1.7,12.1,2.9,42.8,1.4
77,Said Benrahma,West Ham,3,11.269696969696971,12.396666666666668,33,30,0.0,22.9,25.3,,,3.4,64.6,1.6,,0.0,0.3,0.3,26.8,2.5,,11.3,,0.3,,1.0,,10.3,11.3,40.5,29.3,34.0,12.2,6.1,,15.3,1.3,0.0,0.3,2.9,14.9,11.3,10.4,0.0,11.5,0.0,0.0,,,,,
78,Anwar El Ghazi,Aston Villa,3,11.213157894736845,15.217857142857147,38,28,2.2,47.5,20.3,,22.8,2.8,5.2,38.3,,0.0,0.5,11.2,0.3,3.1,,0.0,53.5,47.5,,12.9,,0.0,0.0,0.9,0.0,0.8,0.3,1.0,,2.8,21.9,35.2,9.7,67.0,0.3,,1.8,16.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,
79,Ezgjan Alioski,Leeds,2,11.131578947368423,11.750000000000002,38,36,16.7,11.5,26.1,,,16.8,0.7,1.8,,1.3,14.3,15.4,1.5,1.5,,39.7,,0.8,10.5,10.3,,10.8,30.7,13.6,0.8,0.8,,6.3,,15.5,6.8,11.5,4.3,34.1,15.5,1.3,20.3,26.8,6.0,10.5,36.1,0.0,0.9,0.3,1.2,0.0
80,Daniel Ceballos Fernandez,Arsenal,3,11.113157894736846,16.892000000000007,38,25,0.0,0.0,,,0.0,5.5,34.3,34.5,,45.1,25.6,2.3,0.0,0.0,,1.0,,0.0,,0.1,,14.3,0.0,0.0,0.0,0.0,,0.0,14.3,36.3,0.8,0.0,14.6,21.7,15.5,5.3,7.5,1.3,2.2,0.0,47.8,22.9,27.9,16.3,23.9,1.3
81,Luke Ayling,Leeds,2,11.089473684210526,11.089473684210526,38,38,2.7,0.4,1.9,,,0.9,2.7,1.1,,28.9,0.3,13.3,0.3,0.7,,2.8,,18.0,1.4,29.8,,1.2,34.4,27.8,1.3,12.8,,22.9,,0.9,1.8,13.2,0.9,11.8,16.3,1.6,42.6,3.8,3.6,30.3,10.7,45.6,14.8,12.3,1.3,4.3
82,Solomon March,Brighton,3,10.902631578947368,19.728571428571428,38,21,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,19.4,27.2,17.3,,11.2,0.4,45.9,0.4,4.0,64.3,20.8,25.3,16.9,1.8,1.8,0.0,16.7,20.6,42.2,28.1,18.2,13.6,18.2
83,Kelechi Iheanacho,Leicester,4,10.892105263157896,16.556,38,25,19.3,13.6,,,31.8,39.5,27.7,55.3,,10.9,20.4,12.0,,38.8,,15.3,21.9,4.8,,0.0,,0.0,34.2,14.0,0.0,0.0,0.5,0.0,,0.0,1.8,0.0,0.8,10.5,0.0,1.9,0.8,0.0,0.0,0.0,0.0,22.5,15.3,0.3,0.0,0.0
84,Cesar Azpilicueta,Chelsea,2,10.876315789473688,15.896153846153851,38,26,38.5,29.8,,,10.1,12.0,0.0,25.3,,0.0,2.0,24.8,,13.1,,26.0,24.4,13.4,,2.4,,11.9,14.3,14.2,18.7,29.3,0.0,17.2,,17.3,25.9,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,16.0,13.7,0.0,0.5
85,Matt Ritchie,Newcastle,3,10.839473684210526,22.883333333333333,38,18,20.3,43.6,14.1,,,19.5,30.2,18.9,,25.8,14.6,20.3,0.0,0.0,,0.0,,0.6,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,39.7,33.7,0.7,43.3,0.0,43.7,,18.7,0.0,0.0,0.0,0.0,0.0,0.0,23.3,0.0,0.0
86,Rodrigo Moreno,Leeds,4,10.781578947368422,15.75769230769231,38,26,0.6,49.9,21.1,,,10.6,0.2,0.0,,0.0,0.0,1.1,0.0,14.0,,1.7,,0.0,0.0,0.0,,0.0,0.0,0.0,1.2,23.1,,2.1,,24.0,38.0,11.0,57.8,35.6,3.8,1.1,10.0,20.8,0.0,0.0,23.3,31.3,22.5,3.9,0.7,0.3
87,Andre-Frank Zambo Anguissa,Fulham,3,10.773684210526321,11.372222222222227,38,36,5.0,3.5,1.1,,,16.3,36.2,,,1.3,25.3,0.0,13.2,12.1,,0.0,1.8,4.1,,8.1,11.3,0.0,0.7,12.8,14.3,2.8,16.8,2.0,12.6,,,23.8,18.8,12.1,1.4,23.3,13.0,3.4,3.3,4.3,10.5,18.1,14.2,16.0,34.1,11.8
88,Nathan Redmond,Southampton,3,10.536842105263156,13.806896551724135,38,29,80.4,0.4,14.0,,37.5,28.5,0.8,,,0.0,16.9,42.5,,1.8,12.0,0.5,,4.2,1.5,15.3,,27.8,28.3,10.3,24.1,1.2,,0.0,,0.0,0.0,0.0,3.4,3.9,0.5,1.4,0.0,0.0,10.8,0.0,19.2,4.4,1.6,0.0,0.0,7.2
89,Frederico Rodrigues de Paula Santos,Man Utd,3,10.410526315789474,13.186666666666667,38,30,0.0,4.4,,11.8,0.0,13.9,,16.6,,13.0,20.6,15.3,,19.9,,11.6,15.2,7.2,,17.2,,7.0,13.4,34.3,6.3,0.0,25.3,11.4,0.0,2.6,0.0,11.5,13.0,0.0,12.3,0.0,25.7,15.1,27.5,1.6,5.2,12.8,3.1,0.8,0.0,
90,Ryan Fraser,Newcastle,3,10.394736842105264,21.944444444444443,38,18,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,3.3,29.3,,39.7,,35.4,,4.3,,28.5,0.0,111.7,44.5,25.8,0.9,0.0,17.0,0.0,0.0,0.0,1.6,44.2,0.0,,0.0,0.0,0.0,4.3,1.2,0.0,1.0,0.0,2.3,0.0
91,Allan Saint-Maximin,Newcastle,3,10.373684210526317,15.768000000000002,38,25,13.4,16.3,26.8,,,13.1,3.0,28.0,,51.5,20.8,10.6,0.0,0.0,,0.0,,46.3,,0.7,,27.8,22.6,1.7,0.3,10.6,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,11.8,6.4,2.1,13.1,25.3,37.4,0.0,0.6,2.8
92,Matt Phillips,West Brom,3,10.215789473684213,11.763636363636367,38,33,15.7,12.8,1.3,,,19.7,11.8,10.6,,28.6,30.9,1.1,,16.0,,22.8,11.8,0.9,,0.1,,0.0,14.3,15.4,4.3,0.2,0.0,0.0,,26.6,0.8,2.0,1.3,18.8,41.5,52.4,0.8,0.0,0.3,24.5,0.3,0.5,0.0,0.0,0.1,0.0
93,Georginio Wijnaldum,Liverpool,3,10.184210526315795,10.184210526315795,38,38,12.8,17.1,11.0,,2.5,3.6,,9.5,,3.3,13.6,1.6,,16.1,,4.3,5.3,23.8,,4.0,,2.2,3.8,2.4,14.8,5.1,29.8,14.9,,6.4,12.5,41.8,3.8,21.8,4.4,13.3,4.1,2.0,3.7,6.8,15.8,0.4,4.6,15.8,5.3,23.0
94,Emile Smith Rowe,Arsenal,3,10.134210526315792,19.255000000000003,38,20,48.3,9.6,,,4.3,3.4,0.0,4.6,,31.4,0.0,0.0,11.3,48.6,,0.0,,3.3,,0.0,,27.7,17.9,19.3,24.2,5.8,,48.6,5.3,23.9,23.7,23.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Mateo Kovacic,Chelsea,3,10.126315789473683,14.25185185185185,38,27,5.7,13.8,,,0.0,0.0,0.0,0.0,,0.0,39.3,19.5,,0.0,,10.7,1.2,15.7,,13.1,,32.3,21.5,5.1,33.0,33.7,5.7,18.7,,4.6,0.0,1.5,1.6,0.8,17.2,10.8,6.3,46.4,15.7,0.0,0.0,0.0,0.3,2.8,7.8,0.0
96,Jorge Luiz Frello Filho,Chelsea,3,10.092105263157896,13.696428571428573,38,28,30.7,27.6,,,29.8,0.7,0.0,3.8,,16.2,15.0,16.4,,7.7,,18.3,2.0,0.0,,0.3,,3.6,14.7,25.0,48.1,24.1,0.0,14.0,,0.0,2.2,16.3,2.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,2.3,6.0,31.3,0.0,1.6,23.2
97,Matthew Lowton,Burnley,2,10.021052631578948,11.200000000000001,38,34,3.3,13.6,16.8,,,14.3,26.1,12.7,,11.0,12.7,15.6,,1.0,,2.2,49.7,30.3,,18.6,1.7,40.9,14.2,11.3,0.8,1.3,0.8,12.5,11.4,,15.7,2.2,1.1,0.4,1.6,12.4,1.6,1.2,5.2,15.3,1.3,0.0,0.0,0.0,0.0,
98,Christian Pulisic,Chelsea,3,9.968421052631578,14.029629629629628,38,27,23.6,12.8,,,29.4,4.4,0.0,24.6,,6.8,46.8,13.0,,16.5,,10.3,0.3,4.2,,0.0,,0.0,0.0,2.0,13.1,1.7,13.2,28.4,,14.0,5.8,43.9,26.6,19.6,0.0,2.9,0.8,0.0,0.0,0.0,1.6,12.2,0.3,0.0,0.0,0.0
99,Paul Pogba,Man Utd,3,9.894736842105264,14.461538461538462,38,26,0.0,24.8,,18.2,0.0,27.2,,11.9,,20.8,30.0,26.3,,0.0,,0.0,0.0,0.0,,0.0,,0.0,3.8,0.0,16.1,17.3,15.4,4.4,26.3,24.3,17.4,0.2,0.0,15.3,24.8,2.8,0.0,0.0,0.8,15.0,8.3,11.7,5.3,0.8,6.8,
100,Patrick Bamford,Leeds,4,9.763157894736844,9.763157894736844,38,38,10.3,10.8,0.3,,,21.6,0.8,22.9,,0.8,10.3,31.6,13.9,12.6,,11.6,,1.9,11.0,4.8,,11.3,2.0,32.3,35.3,1.3,,10.3,,1.1,11.3,1.3,0.5,13.1,2.3,0.7,24.3,1.8,2.8,2.2,22.2,4.0,0.9,12.4,11.9,0.5
101,Joel Veltman,Brighton,2,9.631578947368421,13.071428571428571,38,28,0.0,0.0,0.0,,,0.0,1.8,33.3,,12.3,2.2,1.2,12.1,11.0,,1.7,,3.9,,34.1,,36.1,16.1,0.0,13.4,49.2,,1.8,1.4,31.7,34.9,0.0,5.2,0.5,3.5,0.8,10.5,0.3,40.9,1.1,0.1,0.0,4.9,0.0,0.0,0.0
102,Pierre-Emerick Aubameyang,Arsenal,3,9.513157894736844,12.465517241379313,38,29,36.3,2.2,,,13.3,0.0,17.3,0.0,,0.0,0.0,26.2,5.3,0.0,,2.5,,0.3,,3.2,,27.7,0.6,0.3,0.0,0.0,,3.7,8.3,5.5,7.6,0.0,0.0,11.9,18.5,7.3,1.3,14.4,28.3,16.4,16.0,29.9,4.6,0.9,36.4,15.3
103,Richarlison de Andrade,Everton,4,9.465789473684213,10.579411764705885,38,34,0.5,25.6,14.1,,36.6,1.4,13.9,0.8,,28.4,1.5,24.9,,12.7,,15.7,4.8,1.3,,1.1,0.8,0.7,4.9,1.7,14.0,0.9,,,0.3,20.8,,0.0,3.3,3.1,2.7,33.1,24.6,13.3,0.0,0.0,0.0,11.6,0.7,3.2,22.9,13.8
104,Harvey Barnes,Leicester,3,9.447368421052632,14.36,38,25,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,1.7,,47.3,,26.8,6.1,10.9,23.9,53.9,24.3,27.2,,3.8,4.6,8.6,23.7,3.0,11.1,0.0,12.6,11.0,0.8,1.4,1.2,2.9,4.9,2.2,26.8,18.3
105,Jamie Vardy,Leicester,4,9.384210526315792,10.488235294117649,38,34,1.6,3.1,,,5.3,35.3,14.3,3.1,,22.5,17.8,1.5,,43.6,,15.1,1.1,2.6,,1.8,,2.3,2.3,0.0,0.0,0.0,10.1,0.8,,21.9,0.2,2.2,21.4,21.6,20.7,1.8,10.9,20.8,3.1,23.6,0.8,0.0,1.4,0.5,11.2,10.3
106,Adam Lallana,Brighton,3,9.360526315789473,11.856666666666666,38,30,1.8,4.8,0.8,,,0.0,0.0,17.3,,11.5,33.9,1.4,15.6,3.8,,2.9,,4.4,,3.9,,43.7,1.5,11.2,0.8,0.0,,0.0,0.0,0.6,0.0,23.8,28.4,1.6,0.0,0.0,0.0,11.1,43.6,16.1,22.1,4.9,13.0,2.8,1.2,27.2
107,Matthew Cash,Aston Villa,2,9.286842105263156,12.603571428571426,38,28,0.0,0.0,0.0,,1.4,5.3,15.3,0.0,,14.7,14.5,23.9,1.7,0.0,,0.0,0.0,0.0,,0.0,,0.4,2.0,20.5,1.4,18.1,13.8,14.3,,44.8,15.1,20.5,19.1,0.0,10.9,,27.0,3.8,2.3,0.8,1.3,1.1,10.2,14.8,33.9,
108,Hector Bellerin,Arsenal,2,9.257894736842106,14.072000000000001,38,25,0.0,0.0,,,0.5,0.0,18.0,0.0,,6.3,0.0,0.0,0.0,0.0,,0.0,,0.0,,6.1,,12.4,18.5,15.8,13.4,10.6,,0.0,22.3,3.3,13.4,21.7,0.0,0.0,39.6,18.3,15.9,24.3,3.9,20.6,4.1,2.0,26.0,1.5,6.9,26.4
109,Timothy Castagne,Leicester,2,9.215789473684211,12.970370370370372,38,27,1.3,1.0,,,5.8,6.9,37.7,4.1,,57.1,8.3,5.4,,18.0,,13.7,28.1,2.0,,11.9,,0.0,0.0,0.0,0.3,23.8,12.3,2.3,,27.3,0.0,2.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,2.8,20.8,15.4,24.7,3.0
110,Michail Antonio,West Ham,4,9.18684210526316,13.42692307692308,38,26,22.8,11.9,5.6,,,15.5,24.6,0.0,,0.0,0.0,1.1,58.6,13.6,,26.9,,1.7,,2.3,,0.0,0.7,21.6,1.0,24.8,25.7,3.3,,11.3,1.8,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.9,21.4,22.8,14.3,2.6,11.8
111,N'Golo Kante,Chelsea,3,9.139473684210527,11.576666666666666,38,30,0.0,11.6,,,0.0,3.7,0.1,3.7,,0.0,3.9,0.0,,40.3,,0.4,16.8,15.8,,4.5,,13.0,1.9,10.8,0.0,0.0,0.0,0.0,,3.8,36.3,13.5,13.3,24.4,14.8,3.5,36.3,16.4,14.9,19.3,2.3,4.3,4.9,7.2,2.8,2.8
112,John Lundstram,Sheffield Utd,3,9.128947368421054,12.389285714285716,38,28,0.0,0.0,0.0,,,0.8,0.0,0.3,,0.0,4.9,1.1,,2.6,,18.3,2.3,6.2,,1.8,,7.9,4.7,25.9,3.8,22.7,,5.5,31.1,0.0,0.0,0.0,15.5,0.0,0.0,17.3,6.9,2.2,3.9,10.8,21.5,12.3,18.9,52.3,13.1,32.3
113,Conor Townsend,West Brom,2,9.047368421052632,13.752,38,25,12.0,6.8,1.4,,,50.1,15.0,10.5,,1.0,25.7,1.3,,26.3,,68.8,5.9,2.1,,1.3,,14.5,15.6,11.3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.8,11.8,7.8,18.9,27.7,2.3,1.4,0.0,0.0
114,Declan Rice,West Ham,3,9.047368421052632,10.74375,38,32,1.8,13.1,15.9,,,0.0,0.0,0.0,,0.0,0.0,0.0,2.3,12.7,,0.9,,1.5,,1.1,,1.8,18.5,3.6,2.9,18.1,8.1,41.8,,6.3,19.8,17.8,2.7,4.3,21.8,12.6,10.8,25.6,4.0,1.6,11.3,3.7,12.0,3.1,27.8,14.5
115,Conor Gallagher,West Brom,3,8.891666666666667,10.67,36,30,33.8,12.8,14.8,,,1.7,15.5,0.9,,0.0,0.3,0.0,,16.6,,19.6,27.0,16.5,,12.1,,12.3,0.7,0.1,1.5,0.0,13.3,0.0,,4.8,2.4,1.7,2.0,1.1,5.6,8.8,2.8,48.9,1.8,15.3,2.9,22.5,0.0,0.0,,
116,Willian Jose Da Silva,Wolves,4,8.731578947368423,9.758823529411767,19,17,1.7,0.6,10.8,,,0.8,0.0,1.4,,13.3,0.8,32.7,,5.9,,14.0,0.0,11.2,,44.8,,5.3,1.0,19.4,1.9,0.3,,,,,,,,,,,,,,,,,,,,
117,Harrison Reed,Fulham,3,8.694736842105264,10.658064516129034,38,31,0.0,0.7,12.6,,,0.0,0.0,,,0.3,23.8,1.6,11.7,2.4,,2.4,14.3,13.6,,4.7,3.5,21.6,24.3,18.1,15.5,1.3,12.2,2.3,13.9,,,1.8,0.0,3.6,0.3,28.9,15.7,18.5,19.4,11.3,10.5,0.0,0.0,0.0,15.1,4.5
118,Luka Milivojevic,Crystal Palace,3,8.673684210526318,10.632258064516131,38,31,0.0,0.0,0.0,,11.0,60.6,1.0,0.8,,,1.5,2.8,,1.8,,33.5,15.0,15.4,,10.3,,15.5,4.1,2.9,2.3,2.3,,0.7,0.9,26.0,1.6,3.3,19.6,16.4,11.5,19.3,0.0,0.0,0.0,3.6,11.9,0.0,5.5,0.0,0.2,28.3
119,Granit Xhaka,Arsenal,3,8.621052631578946,10.56774193548387,38,31,36.0,1.3,,,0.0,0.0,7.2,19.9,,10.3,1.7,0.0,18.7,4.8,,15.6,,15.1,,23.8,,21.3,30.6,13.3,3.8,29.6,,5.9,7.3,4.4,2.5,5.6,0.0,0.0,2.7,8.3,3.4,0.7,0.0,0.0,4.7,1.8,0.0,3.4,6.7,17.2
120,Sergio Reguilon,Spurs,2,8.594444444444443,11.459259259259259,36,27,12.5,22.0,4.4,,,2.3,13.3,,9.3,1.3,11.8,31.6,14.4,2.7,,7.5,0.0,2.7,,18.3,,0.0,0.0,0.0,0.0,0.0,,2.6,35.7,0.0,,2.7,6.9,0.0,5.9,1.3,3.0,0.8,17.8,17.3,0.0,17.0,44.3,0.0,,
121,Ben Osborn,Sheffield Utd,3,8.568421052631578,13.566666666666665,38,24,2.2,5.2,25.8,,,16.2,12.3,23.8,,8.8,14.3,4.5,,0.0,,0.0,0.0,1.5,,0.0,,41.6,0.0,0.0,0.0,0.0,,0.0,35.3,5.7,6.3,31.3,10.3,0.0,0.0,1.1,0.0,0.0,11.5,1.0,5.3,0.0,15.8,41.0,4.8,0.0
122,Aleksandar Mitrovic,Fulham,4,8.521052631578948,11.992592592592594,38,27,0.0,0.0,0.0,,,16.8,1.7,,,0.0,15.3,13.9,15.2,15.0,,0.1,0.1,0.4,,0.0,0.0,0.0,11.8,17.8,57.6,1.3,0.5,0.0,0.0,,,0.3,3.9,11.7,0.0,0.0,10.3,11.1,20.5,26.3,26.3,2.8,23.2,12.1,7.5,0.3
123,Ayoze Perez,Leicester,3,8.515789473684213,12.944000000000006,38,25,0.2,4.3,,,13.3,21.6,25.8,0.8,,2.3,0.0,1.3,,6.8,,0.0,0.0,0.0,,0.0,,0.0,16.0,1.7,57.2,2.0,1.0,14.0,,0.0,31.8,14.8,0.0,11.5,33.8,26.6,0.0,0.0,0.0,0.0,0.0,26.2,4.8,0.0,3.3,2.5
124,Gareth Bale,Spurs,3,8.51388888888889,15.325,36,20,29.0,12.0,52.1,,,2.5,2.3,,40.4,0.0,0.0,0.0,0.0,3.0,,55.9,1.1,14.0,,20.8,,0.3,0.0,0.0,17.9,0.6,,0.0,0.0,0.0,,0.0,16.1,0.0,0.0,0.0,0.0,0.0,17.7,20.8,0.0,0.0,0.0,0.0,,
125,Chris Wood,Burnley,4,8.505263157894738,9.793939393939395,38,33,1.6,22.8,5.7,,,22.2,4.5,23.8,,15.3,24.2,13.3,,4.3,,4.2,3.0,0.5,,0.0,0.0,0.0,0.0,0.0,1.8,2.5,13.3,4.3,15.1,,12.5,37.3,14.1,1.3,11.8,14.9,1.3,22.7,2.5,0.8,13.8,2.5,1.1,3.1,1.1,
126,Daniel Castelo Podence,Wolves,3,8.473684210526317,13.41666666666667,38,24,0.0,0.0,0.0,,,24.5,10.8,1.3,,3.5,4.3,43.6,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,15.1,16.3,3.8,,0.0,0.0,0.0,1.9,6.9,23.5,3.5,25.7,2.8,2.9,14.2,21.4,15.0,25.8,2.1,5.2,0.0,29.6,18.3
127,David McGoldrick,Sheffield Utd,4,8.426315789473687,9.148571428571431,38,35,14.2,33.8,4.6,,,2.4,2.1,4.1,,3.4,0.5,28.3,,0.0,,13.6,29.6,1.3,,0.8,,16.5,11.0,5.5,0.5,5.8,,18.8,10.1,7.2,6.7,1.3,12.8,28.1,13.3,0.0,0.0,6.5,0.9,1.3,13.8,2.1,4.4,12.0,0.2,2.7
128,Abdoulaye Doucoure,Everton,3,8.405263157894739,11.013793103448279,38,29,11.5,3.7,3.6,,15.8,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,13.9,4.0,,12.5,2.4,3.1,11.0,24.8,24.3,0.0,,,2.8,11.6,,13.3,3.0,2.3,2.3,24.3,5.9,14.4,4.8,3.6,2.8,10.9,34.8,4.7,2.7,44.6
129,Kenny Tete,Fulham,2,8.221052631578948,14.200000000000001,38,22,8.3,0.0,1.9,,,11.8,0.0,,,0.0,14.0,42.9,0.9,1.1,,28.8,0.0,14.0,,1.3,1.4,3.2,16.2,9.8,1.0,15.8,34.3,12.4,25.8,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.9,33.6,0.0
130,George Baldock,Sheffield Utd,2,8.176315789473685,9.709375000000001,38,32,15.8,0.0,2.7,,,17.3,12.6,25.9,,9.3,2.8,0.0,,1.6,,1.3,11.6,4.0,,1.1,,0.0,0.0,1.3,1.8,11.5,,0.0,0.0,0.0,16.1,3.5,1.0,16.0,1.0,5.9,28.0,14.7,23.3,8.1,21.4,16.5,12.9,2.2,3.8,15.7
131,Danny Welbeck,Brighton,4,8.172727272727272,11.237499999999999,33,24,0.0,0.3,15.9,,,22.4,23.9,26.4,,3.8,24.0,12.7,12.6,21.2,,0.1,,0.3,,11.0,,0.0,0.3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,21.5,0.0,1.0,0.6,11.4,12.3,14.9,32.3,0.8,0.0,,,,,
132,Josh Brownhill,Burnley,3,8.13421052631579,9.366666666666667,38,33,11.5,17.0,28.6,,,11.2,3.8,14.2,,12.1,3.7,13.3,,5.4,,1.6,3.4,6.8,,19.1,0.9,0.0,0.0,0.0,0.0,1.6,0.8,15.1,1.7,,2.8,15.3,1.7,15.4,1.8,6.3,0.0,2.2,2.1,14.4,24.5,1.8,15.8,10.0,23.2,
133,Pierre-Emile Højbjerg,Spurs,3,8.123684210526317,8.123684210526317,38,38,4.7,3.1,27.3,,,2.4,11.3,,4.9,11.4,12.5,3.8,5.0,12.4,,4.3,0.8,2.1,,14.9,,2.8,17.0,4.3,6.2,4.6,,23.4,4.2,13.7,,2.0,13.8,0.3,3.8,0.9,2.8,1.3,3.7,2.9,4.8,13.6,23.3,32.1,1.3,5.0
134,Dominic Calvert-Lewin,Everton,4,8.105263157894738,9.333333333333336,38,33,5.8,15.8,3.8,,2.9,42.7,1.9,2.7,,0.0,0.0,15.3,,3.5,,0.8,24.4,1.7,,0.3,0.0,0.0,14.3,5.1,16.8,4.5,,,0.0,3.5,,16.2,1.5,1.2,1.8,5.3,28.2,14.9,7.6,35.2,4.4,3.3,2.3,6.2,0.4,13.7
135,Kai Havertz,Chelsea,3,8.097368421052632,11.396296296296297,38,27,1.7,0.0,,,12.6,0.0,15.4,0.0,,6.2,15.1,10.8,,25.5,,6.3,0.0,0.0,,0.0,,0.0,0.0,0.0,11.1,20.1,4.0,0.0,,12.2,3.4,1.3,1.0,3.9,14.8,15.2,0.7,0.0,0.0,18.6,15.2,9.7,38.3,28.9,0.9,14.8
136,Alexandre Lacazette,Arsenal,4,8.089473684210526,9.916129032258064,38,31,0.8,0.0,,,0.3,2.8,0.0,0.0,,15.0,16.5,0.6,31.4,2.7,,0.6,,2.6,,0.5,,0.0,16.6,12.2,1.1,16.1,,24.6,3.8,32.3,0.4,4.9,10.3,0.0,22.1,15.1,0.3,0.0,0.6,22.0,21.4,0.0,0.0,11.4,5.7,12.7
137,Douglas Luiz Soares de Paulo,Aston Villa,3,8.013157894736842,9.227272727272727,38,33,0.0,10.7,2.6,,18.8,1.7,2.5,6.0,,12.6,2.7,12.2,1.7,13.0,,1.5,0.0,0.0,,15.1,,2.1,0.0,1.8,1.8,13.4,14.7,0.8,,3.4,3.2,3.2,27.5,0.0,12.8,,15.6,13.3,27.3,27.8,13.0,1.3,0.3,0.5,19.6,
