,Name,Team,Position,xG per fixture adj,xG per game adj,Team games,Played,GW38,GW37*,GW37,GW36,GW35*,GW35,GW34*,GW34,GW33,GW32,GW31,GW30,GW29,GW28*,GW28,GW27,GW26,GW25*,GW25,GW24,GW23,GW22,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7*,GW7,GW6,GW5,GW4,GW3,GW2,GW1
116,Evan Ferguson,Brighton,Forward,9.554275207164272,13.44675769897194,38,27,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,4.305938152153291,34.327597864768684,7.110463659147871,,12.469047311271977,0.0,19.400754223652456,0.0,4.354681504221029,10.49572424587365,2.1509287338893106,0.0,3.8325903411009796,21.79881189527604,2.0178342816500714,23.548262147674222,22.606175298804782,0.0,2.03156104547082,24.231245551601425,3.466188149053146,1.2739447687471934,,0.0,8.155118173107635,14.337180439952439,51.59220143381711,56.51543824701196,3.483745203376823,29.557025200619453
117,Pedro Porro,Spurs,Defender,9.35300366279953,10.15468969103949,38,35,19.07030765253361,3.466188149053146,24.220902105862265,7.643668612483161,18.64237420024209,22.995542046605877,,,0.0,18.30023714665149,25.835628912919752,8.78722370829227,0.0,,0.0,0.0,,,0.0,0.0,7.110463659147871,7.062419985775249,7.59027199762188,9.061242414564038,7.571301944338544,6.094683136412461,9.688360842344906,25.796100716908555,25.02826550939101,10.398564447159439,31.0648197092694,1.7418726016884114,8.830598305377833,4.564883346741754,2.019270462633452,9.58606222722793,,7.643668612483161,3.8325903411009796,2.200420113753878,8.880997438816165,8.155118173107635,2.53009066587396,0.0
118,Taiwo Awoniyi,Nott'm Forest,Forward,9.257327368097343,17.58892199938495,38,20,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,2.1632291269538695,7.643668612483161,4.284802718519917,,49.24916761525328,5.952946319286589,21.746981794953694,72.81921648091861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.679809334092205,6.427204077779876,2.547889537494387,0.0,0.0,,2.0178342816500714,17.33094074526573,7.26627063175868,14.717663842296389,24.45754310344828,15.402940796277148,67.07033096926715
119,Harry Wilson,Fulham,Midfielder,9.161753806226464,9.947046989617304,38,35,15.97677037871322,,3.466188149053146,0.0,,2.282441673370877,,21.65706106870229,1.6147268070574845,0.0,6.458907228229937,0.0,20.433822971948448,,7.838426707597851,40.01973884864659,0.84336355529132,,7.498404757409855,1.8122484829128078,0.0,0.0,20.604729379214945,7.665180682201959,0.0,19.376721684689812,5.952946319286589,22.606175298804782,6.458907228229937,42.04017736865739,3.483745203376823,6.427204077779876,10.96372621878716,2.1632291269538695,10.754643669446551,0.7334733712512927,,5.887065536918556,6.847325020112631,9.58606222722793,3.466188149053146,1.9162951705504898,26.231845661450926,5.07890261367705
120,Cameron Archer,Sheffield Utd,Forward,9.030973926628812,11.439233640396496,38,30,5.377321834723276,,15.236707841031151,43.05938152153291,,12.898050358454277,0.84336355529132,3.229453614114969,4.035668563300143,1.9623551789728517,0.0,0.0,,,0.0,0.0,0.0,,0.0,18.3732859355202,13.925608835189731,0.0,1.6147268070574845,0.0,23.166317049134168,23.566414951859546,12.755308663323536,18.160508534850642,30.574674449932644,3.229453614114969,1.8122484829128078,6.489687380861609,20.902471220260935,0.0,32.891178656361475,12.115622775800713,,6.458907228229938,3.968630879524393,2.1509287338893106,24.378732545649843,0.0,0.0,0.0
121,Morgan Rogers,Aston Villa,Midfielder,8.971320866427273,13.049193987530579,16,11,0.0,,0.0,2.1632291269538695,,20.604729379214945,,46.2123363142766,3.8325903411009796,31.276431365576105,6.932376298106292,1.7418726016884114,8.880997438816165,,0.0,13.580254821906236,5.382422690191614,,0.0,0.0,2.933893485005171,,,,,,,,,,,,,,,,,,,,,,,
122,James Tarkowski,Everton,Defender,8.91466602186265,8.91466602186265,38,38,3.8325903411009796,,2.933893485005171,10.384900746163591,,7.062419985775249,29.30072968118545,2.1529690760766456,3.9247103579457034,0.0,6.9451040391676875,1.8122484829128078,,,16.02390755053508,0.0,4.326458253907739,,27.389300080450525,0.0,4.301857467778621,11.105987544483988,8.569605437039835,6.09655410590944,25.996411117898596,0.0,6.458907228229938,1.9623551789728517,10.91373491869208,7.53539176626826,5.9035448870392395,6.847325020112631,31.36682234083111,9.688360842344906,5.095779074988774,3.6244969658256156,,0.0,43.38343705547653,7.665180682201959,1.4669467425025855,6.967490406753646,9.640806116669813,8.077081850533808
123,Christian Nørgaard,Brentford,Midfielder,8.90433125104751,10.914986694832432,38,31,0.0,,6.342869690194827,10.09635231316726,,2.03156104547082,,0.0,0.0,0.0,0.0,0.0,0.0,,32.577017899358324,0.0,5.6515438247011955,3.466188149053146,1.2739447687471934,28.740897927858786,43.327351863164324,2.1509287338893106,0.0,7.98854585679807,11.322171910974674,,2.1424013592599587,8.06820708376422,0.0,1.5976770378713219,5.748885511651469,19.109171531207902,5.6515438247011955,0.0,13.725177859988618,37.10799643281808,,35.52398975526466,7.110463659147871,7.937261759048786,20.84085755349729,2.282441673370877,10.09635231316726,6.452786201667931
124,Carlos Henrique Casimiro,Man Utd,Midfielder,8.879987637359466,13.49758120878639,38,25,0.0,9.921577198810983,17.246656534954408,44.507612630732105,,23.413538702333526,,10.268627197518098,7.248993931651231,11.465502918724741,3.9247103579457034,2.0178342816500714,,,19.29982993197279,6.932376298106292,2.019270462633452,,4.793031113613965,6.427204077779876,0.0,33.96651573292402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.035668563300143,,27.389300080450525,4.0368170176437115,0.0,3.8325903411009796,53.82422690191614,40.867645943896896,0.0
125,James Ward-Prowse,West Ham,Midfielder,8.812293229895065,8.812293229895065,37,37,0.0,,16.77560889764888,7.849420715891407,,0.0,,0.0,11.105987544483988,13.934980813507291,7.528250568612586,0.0,5.3560033981498965,,1.6147268070574845,0.0,11.098088549075392,,3.2294536141149686,0.0,4.2168177764566,15.404112104758866,13.935994053774563,18.387447579107892,1.9162951705504898,4.2168177764566,8.709363008442057,13.12525800711744,19.358358605003794,2.282441673370877,4.0368170176437115,5.382422690191614,5.044585704125178,0.0,6.427204077779876,4.960788599405491,,22.004201137538782,0.0,41.594257788637755,1.5976770378713219,52.999113610369804,1.9623551789728517,
126,Lucas Tolentino Coelho de Lima,West Ham,Midfielder,8.77855803623512,10.760813076675309,38,31,0.0,,4.793031113613965,10.792953484350685,,10.191558149977547,,0.0,43.41431494661922,14.805917114351496,4.301857467778621,8.929419478929884,22.495214272229564,,26.642992316448492,14.220927318295741,8.071337126600286,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4336355529132,4.354681504221029,1.009635231316726,24.73568043972707,2.282441673370877,8.073634035287423,32.294536141149685,0.0,9.14202470461869,4.284802718519917,1.9843154397621965,,8.801680455015513,0.0,0.0,3.1953540757426437,17.305833015630956,24.529439737160647,14.497987863302463
127,Antony Matheus dos Santos,Man Utd,Midfielder,8.765385773499368,11.48567791010262,38,29,0.0,0.0,13.414066193853428,7.98854585679807,,83.15843056346044,,7.334733712512928,0.0,21.65706106870229,21.58590696870137,3.026751422475107,,,2.03156104547082,0.0,0.0,,0.0,0.0,3.229453614114969,8.709363008442057,0.0,8.611876304306582,2.1424013592599587,10.49572424587365,11.465502918724741,8.155118173107635,21.58590696870137,6.9451040391676875,0.0,3.1953540757426437,2.019270462633452,0.0,11.002100568769391,8.071337126600286,,0.0,0.0,0.0,7.665180682201959,29.06508252703472,13.981036770280518,16.547789716039908
128,Dango Ouattara,Bournemouth,Midfielder,8.76034860676343,11.096441568567009,38,30,32.378860453052056,,20.178342816500713,7.665180682201959,,4.326458253907739,0.0,44.99042854445913,3.37345422116528,6.3907081514852875,2.282441673370877,0.0,,6.3907081514852875,47.67576913133403,0.0,10.398564447159439,,3.968630879524393,8.077081850533808,0.0,0.0,0.0,4.301857467778621,8.077081850533808,22.606175298804782,,1.68672711058264,7.98854585679807,0.0,0.0,16.86668123797867,0.0,0.0,0.0,5.07890261367705,,17.246656534954408,9.734531071292414,41.20945875842989,0.0,0.0,0.0,0.0
129,James McAtee,Sheffield Utd,Midfielder,8.696516649679932,10.66024621573669,38,31,0.0,,0.0,0.0,,0.0,0.0,31.487172737620945,0.0,3.9247103579457034,42.04017736865739,0.0,,,0.0,1.9162951705504898,26.999025326170376,,6.489687380861609,19.970962973391522,2.1424013592599587,19.400754223652456,12.917814456459876,0.0,7.189546670420948,2.1424013592599587,5.887065536918556,23.205094238975818,30.574674449932644,1.6147268070574845,5.4367454487384235,14.060989325200152,12.19310821181888,3.8325903411009796,8.4336355529132,0.0,,8.073634035287423,3.968630879524393,36.56578847611828,0.0,0.0,0.0,0.0
