,Name,Team,Position,xG per fixture,xG per game,Team games,Played,GW6,GW5,GW4,GW3,GW2,GW1
131,Morgan Gibbs-White,Nott'm Forest,Midfielder,7.75,7.75,4,4,4.980247612959993,7.822472565046227,0.0,15.0,10.0,6.0
132,Elijah Adebayo,Luton,Forward,7.75,7.75,4,4,7.450771149790853,4.0,23.0,4.0,,0.0
133,Nathan Ake,Man City,Defender,7.6,9.5,5,4,6.956555161728367,0.0,19.0,9.0,0.0,10.0
134,Kurt Zouma,West Ham,Defender,7.6,7.6,5,5,10.025289748997562,17.0,19.0,2.0,0.0,0.0
135,Jarrad Branthwaite,Everton,Defender,7.5,15.0,4,2,10.842475179341243,9.000269911956696,0.0,30.0,0.0,0.0
136,Josh Brownhill,Burnley,Midfielder,7.333333333333333,11.0,3,2,13.22681438140779,12.324160345198155,22.0,0.0,,0.0
137,Fabio Ferreira Vieira,Arsenal,Midfielder,7.25,14.5,4,2,13.19845859223598,13.760880247361534,4.0,25.0,0.0,0.0
138,Mathias Jensen,Brentford,Midfielder,7.2,7.2,5,5,6.827044949528152,0.0,13.0,0.0,19.0,4.0
139,Amadou Onana,Everton,Midfielder,7.0,7.0,4,4,4.868315139690508,4.0411575354274305,7.0,4.0,0.0,17.0
140,Sasa Kalajdzic,Wolves,Forward,7.0,11.666666666666666,5,3,15.9061606769357,0.0,0.0,33.0,0.0,2.0
141,Hamed Traore,Bournemouth,Midfielder,7.0,14.0,4,2,16.430267215141445,12.330065334932263,0.0,2.0,26.0,0.0
142,Carlos Vinicius Alves Morais,Fulham,Forward,7.0,35.0,5,1,20.10316121228603,35.0,0.0,0.0,0.0,0.0
143,Mario Lemina,Wolves,Midfielder,6.8,6.8,5,5,8.780250800406339,6.0,0.0,10.0,9.0,9.0
144,James McAtee,Sheffield Utd,Midfielder,6.8,17.0,5,2,13.069420242421323,34.0,0.0,0.0,0.0,0.0
145,Pablo Fornals Malla,West Ham,Midfielder,6.8,8.5,5,4,9.223185612483618,0.0,0.0,0.0,17.0,17.0
146,James Tarkowski,Everton,Defender,6.75,6.75,4,4,5.5339337530093635,4.593683326743654,2.0,8.0,9.0,8.0
147,Brennan Johnson,Spurs,Midfielder,6.6,8.25,5,4,5.306514355487361,6.0,0.0,2.0,19.0,6.0
148,Noni Madueke,Chelsea,Midfielder,6.5,13.0,4,2,10.74455584040937,14.366998311746299,13.0,0.0,13.0,0.0
149,Anthony Martial,Man Utd,Forward,6.4,8.0,5,4,11.708378218568413,4.0,17.0,11.0,0.0,0.0
150,Lewis Dobbin,Everton,Midfielder,6.25,8.333333333333334,4,3,6.236074888275772,5.176526231998921,0.0,21.0,2.0,2.0
151,Levi Colwill,Chelsea,Defender,6.25,6.25,4,4,5.136177737949906,6.867799654633631,2.0,5.0,11.0,7.0
