,Name,Team,Threat per fixture,Threat per game,Team games,Played,Threat GW5,Threat GW4*,Threat GW4,Threat GW3,Threat GW2,Threat GW1
201,Timothy Fosu-Mensah,Man Utd,4.0,16.0,4,1,0.0,,0.0,0.0,16.0,
202,Andreas Christensen,Chelsea,4.0,5.0,5,4,18.0,,0.0,0.0,0.0,2.0
203,David Luiz Moreira Marinho,Arsenal,3.8,4.75,5,4,19.0,,0.0,0.0,0.0,0.0
204,Antonee Robinson,Fulham,3.8,9.5,5,2,0.0,,19.0,0.0,0.0,0.0
205,Adama Traore,Wolves,3.8,3.8,5,5,0.0,,0.0,0.0,2.0,17.0
206,Dwight McNeil,Burnley,3.75,3.75,4,4,7.0,,4.0,4.0,0.0,
207,Dara O'Shea,West Brom,3.6,4.5,5,4,0.0,,18.0,0.0,0.0,0.0
208,Matt Ritchie,Newcastle,3.6,18.0,5,1,0.0,,0.0,18.0,0.0,0.0
209,Michael Hector,Fulham,3.6,6.0,5,3,0.0,,0.0,0.0,18.0,0.0
210,Kevin Long,Burnley,3.5,3.5,4,4,0.0,,4.0,4.0,6.0,
211,Jack Stephens,Southampton,3.4,8.5,5,2,0.0,,0.0,0.0,0.0,17.0
212,Jack Robinson,Sheffield Utd,3.4,5.666666666666667,5,3,2.0,,0.0,15.0,0.0,0.0
213,Reece James,Chelsea,3.4,4.25,5,4,0.0,,0.0,4.0,2.0,11.0
214,Joel Matip,Liverpool,3.4,8.5,5,2,17.0,,0.0,0.0,0.0,0.0
215,Jay Rodriguez,Burnley,3.25,6.5,4,2,0.0,,0.0,0.0,13.0,
216,Hal Robson-Kanu,West Brom,3.2,5.333333333333333,5,3,0.0,,7.0,8.0,0.0,1.0
217,Tom Cairney,Fulham,3.2,4.0,5,4,9.0,,4.0,3.0,0.0,0.0
218,Bernardo Mota Veiga de Carvalho e Silva,Man City,3.0,6.0,4,2,4.0,,8.0,0.0,0.0,
219,Javier Manquillo,Newcastle,2.8,3.5,5,4,0.0,,10.0,2.0,0.0,2.0
220,Sergio Reguilon,Spurs,2.8,7.0,5,2,0.0,,14.0,0.0,,
221,John Fleck,Sheffield Utd,2.8,4.666666666666667,5,3,0.0,,0.0,0.0,0.0,14.0
222,Kieran Tierney,Arsenal,2.6,3.25,5,4,11.0,,0.0,0.0,0.0,2.0
223,James McArthur,Crystal Palace,2.6,2.6,5,5,0.0,,3.0,2.0,2.0,6.0
224,Benjamin Mendy,Man City,2.5,3.3333333333333335,4,3,0.0,,2.0,0.0,8.0,
225,Matt Targett,Aston Villa,2.5,2.5,4,4,8.0,,0.0,0.0,2.0,
226,Frederico Rodrigues de Paula Santos,Man Utd,2.5,3.3333333333333335,4,3,10.0,,0.0,0.0,0.0,
227,Rodrigo Hernandez,Man City,2.5,2.5,4,4,2.0,,4.0,3.0,1.0,
228,Sergio Aguero,Man City,2.5,10.0,4,1,10.0,,0.0,0.0,0.0,
229,Hector Bellerin,Arsenal,2.4,2.4,5,5,0.0,,4.0,2.0,2.0,4.0
230,Thiago Alcantara do Nascimento,Liverpool,2.4,6.0,5,2,11.0,,0.0,0.0,1.0,
231,Karlan Grant,West Brom,2.4,12.0,5,1,12.0,,,,,
232,Charlie Taylor,Burnley,2.25,2.25,4,4,0.0,,0.0,7.0,2.0,
233,Johann Berg Gudmundsson,Burnley,2.25,4.5,4,2,9.0,,0.0,0.0,0.0,
234,Nemanja Matic,Man Utd,2.25,3.0,4,3,0.0,,0.0,9.0,0.0,
235,Pierre-Emile Højbjerg,Spurs,2.2,2.2,5,5,2.0,,1.0,8.0,0.0,0.0
236,Moise Kean,Everton,2.2,5.5,5,2,0.0,,0.0,0.0,7.0,4.0
237,Adam Lallana,Brighton,2.2,2.2,5,5,1.0,,8.0,0.0,0.0,2.0
238,Tyler Roberts,Leeds,2.2,2.75,5,4,0.0,,0.0,0.0,11.0,0.0
239,N'Golo Kante,Chelsea,2.2,2.2,5,5,0.0,,1.0,2.0,4.0,4.0
240,Gareth Bale,Spurs,2.2,11.0,5,1,11.0,,0.0,0.0,,
241,Ruben Santos Gato Alves Dias,Man City,2.0,4.0,4,2,0.0,,8.0,,,
242,John Egan,Sheffield Utd,2.0,2.5,5,4,2.0,,2.0,0.0,0.0,6.0
243,Pascal Groß,Brighton,2.0,2.5,5,4,0.0,,0.0,10.0,0.0,0.0
244,Matt Phillips,West Brom,2.0,3.3333333333333335,5,3,2.0,,0.0,8.0,0.0,0.0
245,Joao Filipe Iria Santos Moutinho,Wolves,1.8,1.8,5,5,0.0,,0.0,9.0,0.0,0.0
246,Theo Walcott,Southampton,1.8,4.5,5,2,9.0,0.0,0.0,0.0,0.0,0.0
247,Michy Batshuayi,Crystal Palace,1.8,3.0,5,3,6.0,,0.0,2.0,1.0,0.0
248,Marvelous Nakamba,Aston Villa,1.75,3.5,4,2,0.0,,7.0,0.0,0.0,
249,Scott Dann,Crystal Palace,1.6,8.0,5,1,0.0,,0.0,0.0,0.0,8.0
250,Nampalys Mendy,Leicester,1.6,1.6,5,5,0.0,,8.0,0.0,0.0,0.0
251,Kalvin Phillips,Leeds,1.6,1.6,5,5,0.0,,7.0,0.0,0.0,1.0
252,James McCarthy,Crystal Palace,1.6,2.0,5,4,0.0,,0.0,8.0,0.0,0.0
253,Alex Iwobi,Everton,1.6,2.0,5,4,0.0,,4.0,0.0,4.0,0.0
254,Ben White,Brighton,1.6,1.6,5,5,6.0,,0.0,2.0,0.0,0.0
255,Denis Odoi,Fulham,1.6,2.6666666666666665,5,3,0.0,,0.0,0.0,1.0,7.0
256,Tosin Adarabioyo,Fulham,1.6,8.0,5,1,8.0,,,,,
257,Mario Lemina,Fulham,1.6,4.0,5,2,8.0,,0.0,0.0,0.0,0.0
258,Harrison Reed,Fulham,1.6,4.0,5,2,0.0,,0.0,0.0,8.0,0.0
259,Allan Marques Loureiro,Everton,1.6,2.0,5,4,0.0,,0.0,1.0,7.0,0.0
260,Dan Burn,Brighton,1.6,4.0,5,2,8.0,,0.0,0.0,0.0,0.0
261,Keinan Davis,Aston Villa,1.5,6.0,4,1,0.0,,0.0,0.0,6.0,
262,Joao Pedro Cavaco Cancelo,Man City,1.5,6.0,4,1,6.0,,0.0,0.0,0.0,
263,Aymeric Laporte,Man City,1.5,6.0,4,1,0.0,,6.0,0.0,0.0,
264,Phil Bardsley,Burnley,1.5,2.0,4,3,0.0,,0.0,0.0,6.0,
265,Ainsley Maitland-Niles,Arsenal,1.4,2.3333333333333335,5,3,0.0,,0.0,3.0,0.0,4.0
266,Alexis Mac Allister,Brighton,1.4,7.0,5,1,7.0,,0.0,0.0,0.0,0.0
267,Manuel Lanzini,West Ham,1.4,7.0,5,1,7.0,,0.0,0.0,0.0,0.0
268,Ryan Fraser,Newcastle,1.4,2.3333333333333335,5,3,2.0,,3.0,0.0,2.0,0.0
269,Raphael Dias Belloli,Leeds,1.2,6.0,5,1,6.0,,,,,
270,James Milner,Liverpool,1.2,2.0,5,3,0.0,,2.0,0.0,4.0,0.0
