,Name,Team,Threat per fixture adj,Threat per game adj,Team games,Played,Threat GW3 adj,Threat GW2 adj,Threat GW1 adj
82,Eberechi Eze,Crystal Palace,13.556901590312094,13.556901590312094,3,3,33.75238386308069,1.7016085790884723,5.216712328767124
83,Miguel Almiron,Newcastle,13.412336151471719,13.412336151471719,3,3,15.829809976247034,3.0128164556962034,21.394382022471916
84,Leandro Trossard,Brighton,13.252024354224629,13.252024354224629,3,3,19.56849865951743,8.67927769985975,11.508296703296706
85,Youri Tielemans,Leicester,13.018914190472183,13.018914190472183,3,3,25.092790697674427,8.68130699088146,5.282644882860668
86,James Ward-Prowse,Southampton,12.984522117518791,12.984522117518791,3,3,0.0,35.051722090261286,3.901844262295083
87,Pedro Lomba Neto,Wolves,12.965695022598682,12.965695022598682,3,3,8.557752808988766,26.56883720930233,3.770495049504951
88,Romain Saiss,Wolves,12.92393199785095,12.92393199785095,3,3,0.0,2.9520930232558147,35.81970297029704
89,Sander Berge,Sheffield Utd,12.852059604000821,12.852059604000821,3,3,2.681830985915494,35.87434782608697,0.0
90,Donny van de Beek,Man Utd,12.724210481946466,12.724210481946466,2,2,3.0128164556962034,22.43560450819673,
91,Stuart Dallas,Leeds,12.495986505058788,12.495986505058788,3,3,30.16396039603961,3.3405263157894747,3.983472803347281
92,Douglas Luiz Soares de Paulo,Aston Villa,12.254108910891091,12.254108910891091,2,2,0.0,24.508217821782182,
93,Abdoulaye Doucoure,Everton,12.237672671430245,12.237672671430245,3,3,32.19021516393444,0.0,4.522802850356295
94,Tariq Lamptey,Brighton,12.215385357422837,12.215385357422837,3,3,1.7016085790884723,14.020371669004211,20.92417582417583
95,Andros Townsend,Crystal Palace,12.21350924871767,12.21350924871767,3,3,0.0,34.03217158176945,2.608356164383562
96,Willian Borges Da Silva,Arsenal,12.004625468164797,12.004625468164797,3,3,0.0,4.278876404494383,31.735000000000007
