,Name,Team,Position,xA per fixture,xA per game,Team games,Played,GW30,GW29*,GW29,GW28*,GW28,GW27*,GW27,GW26*,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21*,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
234,Patson Daka,Leicester,Forward,4.167999999999999,8.015384615384615,25,13,7.853122256676122,,7.2871988092241775,,0.0,,3.3,,1.3,,24.1,0.0,,1.8,,1.6,,,0.0,0.0,,,11.4,34.4,0.3,0.0,0.0,0.0,0.9,11.9,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,Mohammed Salisu,Southampton,Defender,4.103571428571429,4.4192307692307695,28,26,,,4.874500108894505,2.7,0.0,,0.5,,0.9,,1.1,1.8,,0.8,,22.7,,11.4,1.1,0.8,,0.4,0.0,14.6,0.6,0.3,2.5,1.3,1.6,0.9,10.5,1.1,12.3,0.1,10.9,12.3,0.3,1.4
236,Lukas Rupp,Norwich,Midfielder,4.064285714285714,9.483333333333333,28,12,,,10.338024540686948,2.3,0.0,,1.3,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,23.8,0.0,28.7,37.4,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,2.3,14.7,0.3,2.2
237,Ben Johnson,West Ham,Defender,4.0357142857142865,8.071428571428573,28,14,10.557243417363091,,9.878942590963923,,24.2,,1.3,,1.2,,0.0,0.0,,0.0,,0.0,0.0,13.5,1.3,0.0,,0.0,0.0,0.4,1.9,16.3,13.3,5.0,1.2,16.4,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1
238,Connor Roberts,Burnley,Defender,4.025,8.781818181818183,24,11,,,1.9,,3.5,5.1,15.7,22.8,10.5,,13.4,4.8,16.8,1.7,,,,0.0,0.0,,,,0.0,0.4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
239,Timothy Castagne,Leicester,Defender,4.016,6.275,25,16,6.485554954172187,,6.018183188097372,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,,10.6,0.0,,,1.3,8.0,1.6,16.3,1.3,0.9,20.0,4.6,13.6,0.6,16.1,2.5,1.2,1.8,0.0,0.0
240,Kalvin Phillips,Leeds,Midfielder,3.971428571428571,9.266666666666666,28,12,8.354886733221992,,10.775490233025296,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,4.5,12.3,1.3,1.0,11.8,22.3,0.0,0.0,3.5,2.9,2.6,3.7,16.5,28.8,0.0
241,Pascal Struijk,Leeds,Defender,3.914285714285714,5.219047619047619,28,21,5.062499987446186,,6.529223065646511,0.4,11.1,,12.3,0.2,0.5,,10.7,0.7,,1.8,,0.6,,0.0,,,0.0,0.0,0.0,0.0,1.3,30.5,22.6,2.3,0.3,3.3,0.2,0.0,0.0,0.0,0.1,0.3,10.4,0.0
242,Ross Barkley,Chelsea,Midfielder,3.8814814814814818,20.96,27,5,,,20.272818781347485,0.0,0.0,,,,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,17.1,0.0,0.0,0.0,0.0,0.0,65.0,8.9,12.5,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0
243,Callum Wilson,Newcastle,Forward,3.8777777777777773,6.9799999999999995,27,15,,6.861911151121593,4.738110209702816,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,,,0.0,3.8,0.0,0.3,14.0,32.3,0.8,12.4,0.3,1.6,1.6,24.5,0.0,0.0,0.0,0.0,1.3,10.7,1.1
244,Michael Keane,Everton,Defender,3.752,3.908333333333333,25,24,,4.790764922055583,4.0176093860826265,,0.8,,0.1,,0.6,,0.2,0.2,,0.0,,0.3,,0.7,,,,0.3,0.9,3.6,20.3,1.4,0.1,0.8,10.8,10.5,0.1,0.2,10.3,0.0,20.3,0.3,0.1,10.9
245,Jonjoe Kenny,Everton,Defender,3.7359999999999998,11.674999999999999,25,8,,13.917423322811104,11.671365947093827,,4.0,,0.8,,12.1,,25.4,0.0,,11.9,,0.0,,34.6,,,,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
246,Ayoze Perez,Leicester,Midfielder,3.7279999999999998,11.649999999999999,25,8,12.011013160270172,,11.145457556666495,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,,0.0,4.0,,,0.0,0.6,10.3,0.0,0.0,0.0,0.0,0.2,31.0,0.0,0.0,0.0,0.0,0.0,11.9,35.2
247,Armando Broja,Southampton,Forward,3.6964285714285707,4.312499999999999,28,24,,,4.698004421212818,1.3,14.3,,26.3,,2.3,,3.6,12.9,,0.8,,2.6,,0.3,0.1,1.3,,10.8,2.4,1.6,0.8,5.0,0.0,0.1,0.0,1.2,13.4,0.0,1.8,0.0,0.0,0.6,0.0,0.0
248,Adam Masina,Watford,Defender,3.6785714285714284,9.363636363636363,28,11,,,8.875511898434262,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.8,4.6,,,,0.0,0.0,0.3,25.4,18.8,0.0,15.0,6.2,0.2,0.0,0.0,0.0,0.0,19.7,11.7,0.3
249,Nikola Vlasic,West Ham,Midfielder,3.6719999999999993,6.119999999999999,25,15,5.739086474217574,,5.370351289819374,,10.6,,0.0,,11.2,,0.1,0.0,,0.0,,1.3,17.4,0.8,1.3,0.8,,0.0,31.6,0.0,0.0,0.0,2.0,0.0,0.7,0.0,0.0,0.0,1.2,1.6,11.2,,,
250,Tyrone Mings,Aston Villa,Defender,3.5259259259259257,3.8079999999999994,27,25,3.3961159132815553,,3.8660845907231334,10.6,0.2,,16.3,,0.8,,0.8,10.8,,13.3,,11.7,,0.0,,0.6,,0.8,0.3,0.3,1.0,0.7,0.8,0.8,0.8,0.0,0.1,0.8,0.3,11.3,0.6,0.0,10.7,0.8
251,Dominic Calvert-Lewin,Everton,Forward,3.523999999999999,9.788888888888886,25,9,,10.911280788120331,9.150368432130445,,0.5,,0.0,,4.1,,15.7,0.0,,23.4,,1.8,,2.8,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,25.4,2.3
252,Romain Saiss,Wolves,Defender,3.4821428571428568,3.7499999999999996,28,26,4.049569472663905,,3.727629513934483,2.3,4.0,,12.5,0.3,10.5,,0.8,11.8,,0.0,,0.0,,1.5,,,0.5,0.7,0.0,0.8,1.4,1.4,13.8,0.6,3.0,0.6,0.8,1.6,1.3,2.2,1.7,0.4,11.5,11.5
253,Romain Perraud,Southampton,Defender,3.4428571428571426,6.885714285714285,28,14,,,7.567121607663162,0.0,3.8,,0.0,,0.0,,13.2,15.4,,1.0,,2.4,,3.3,10.0,0.0,,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,13.0,5.3,0.0,0.0,0.0,15.4,0.0,0.8,11.5
254,Christos Tzolis,Norwich,Midfielder,3.407142857142856,8.67272727272727,28,11,,,9.73454512247271,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,20.3,,0.1,11.6,0.3,,0.0,0.0,0.0,14.8,0.8,0.3,0.0,0.1,0.0,0.0,0.0,14.8,10.7,21.6,0.0,0.0,0.0
255,Harvey Elliott,Liverpool,Midfielder,3.3642857142857143,18.84,28,5,,16.740608559970745,0.0,,0.0,,,0.0,0.0,,0.0,13.3,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,25.7,39.2,0.8
256,Shandon Baptiste,Brentford,Midfielder,3.348275862068965,5.110526315789474,29,19,6.915285893531839,,0.0,,0.0,,0.0,,0.8,,0.3,0.0,,1.4,12.6,1.2,11.2,10.6,10.2,4.3,,,23.1,1.9,1.6,10.4,0.0,0.0,0.0,0.0,0.0,0.1,4.4,1.6,1.4,0.0,0.0,0.0
257,Andre Filipe Tavares Gomes,Everton,Midfielder,3.3,7.5,25,11,,8.816445804012298,7.393607490740836,,0.0,,0.0,,3.6,,0.0,2.3,,12.9,,2.9,,14.4,,,,0.5,17.3,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,14.7,1.8,0.0,0.0
258,Kieran Dowell,Norwich,Midfielder,3.289285714285714,8.372727272727273,28,11,,,10.413738663065406,0.0,0.0,,0.0,,0.0,,0.3,0.0,,0.0,,0.0,,2.2,0.0,0.8,,14.4,0.0,4.3,0.0,17.5,0.0,1.8,26.2,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,20.8
259,Anwar El Ghazi,Everton,Midfielder,3.2769230769230764,7.745454545454544,26,11,,9.187809625480162,7.705038921640733,,0.0,,0.5,,0.0,,0.8,0.0,,0.0,,0.0,,0.0,,1.7,,0.0,0.0,0.0,0.0,11.3,1.0,11.6,10.5,1.0,0.0,0.0,0.0,0.0,0.0,36.9,7.2,2.7
260,Boubakary Soumare,Leicester,Midfielder,3.2599999999999993,4.7941176470588225,25,17,4.3253815046603314,,4.013679390182069,,0.0,,0.0,,0.0,,0.0,1.9,,0.9,,0.1,,,1.3,0.0,,,2.1,0.0,1.1,12.9,1.4,21.8,3.3,1.3,2.5,0.3,25.8,3.8,0.0,0.0,0.1,0.9
261,Steven Bergwijn,Spurs,Midfielder,3.2518518518518507,5.487499999999998,27,16,7.05801461922042,6.4012007821979005,0.3,,1.5,,1.1,0.3,0.0,,0.7,0.1,,2.3,,14.1,,0.0,0.0,15.6,0.0,,,0.3,0.2,,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,4.1,23.2,21.9
262,Saman Ghoddos,Brentford,Midfielder,3.241379310344827,6.266666666666666,29,15,8.409014807022388,,0.0,,0.0,,0.0,,0.0,,0.3,14.3,,14.3,0.0,0.0,0.0,2.3,0.3,6.3,,,1.2,0.0,0.0,0.0,1.2,15.3,11.5,0.2,1.4,0.0,0.0,0.0,0.0,25.1,0.3,0.0
263,Francisco Jorge Tomas Oliveira,Wolves,Midfielder,3.1750000000000003,8.466666666666667,8,3,9.713764518393626,,8.941522192568854,10.3,0.3,,0.0,0.0,0.0,,0.0,14.8,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
264,Andreas Christensen,Chelsea,Defender,3.1185185185185182,5.613333333333332,27,15,,,6.264221162368697,3.8,0.0,,,,17.3,,,,,0.0,0.0,0.0,,0.0,0.9,0.3,0.0,0.0,0.2,2.8,1.5,0.0,0.0,12.0,18.4,0.0,1.6,0.0,0.4,21.6,0.0,0.3,1.8,1.3
265,Eric Dier,Spurs,Defender,3.111111111111111,3.5,27,24,3.8476086808260854,3.489552944566691,1.0,,0.8,,0.1,1.9,0.0,,0.0,0.0,,0.3,,0.0,,3.0,13.0,1.3,3.6,,,3.2,0.3,,16.7,0.3,0.7,1.1,0.6,10.3,14.2,10.4,0.0,1.1,0.0,0.1
266,Moussa Djenepo,Southampton,Midfielder,3.1071428571428568,7.909090909090907,28,11,,,8.337393473672519,0.8,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9,0.3,1.7,0.0,12.6,12.7,11.3,7.2
267,Sean Longstaff,Newcastle,Midfielder,3.0888888888888886,4.905882352941176,27,17,,4.950214902227358,3.418094937681139,0.3,0.1,,0.0,,0.0,,0.0,0.0,,0.8,,2.5,,,,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1.0,1.8,2.1,7.6,13.2,12.0,1.8,25.5,1.5,0.4
268,Tanguy Ndombele,Spurs,Midfielder,3.0777777777777775,9.233333333333333,27,9,11.178760568023673,10.138473034211417,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.6,16.9,,,0.0,0.0,,0.0,0.0,2.8,24.4,8.6,14.9,3.3,11.6,0.0,0.0,0.0,0.0
269,Enock Mwepu,Brighton,Midfielder,3.067857142857143,7.8090909090909095,28,11,,7.980741959357494,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,23.6,1.0,23.3,,15.1,,1.2,0.0,0.0,0.0,2.0,4.7,1.0,0.0,0.0,0.0,0.8,0.0,0.0,1.1,12.1
270,Thiago Emiliano da Silva,Chelsea,Defender,3.0259259259259257,3.552173913043478,27,23,,,3.9410147025823212,5.3,1.6,,,,1.3,,,,,0.5,1.6,0.4,,1.0,0.0,1.6,2.4,6.5,2.9,1.3,0.6,1.6,1.4,1.6,5.2,11.9,0.0,11.7,0.3,10.7,10.3,0.0,0.0,0.0
271,Anthony Elanga,Man Utd,Midfielder,3.0103448275862066,7.2749999999999995,29,12,,,1.3,,2.5,,26.4,,0.8,4.4,0.8,14.6,,17.6,14.0,2.8,,1.3,0.0,0.0,,,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,Adam Idah,Norwich,Forward,3.0,4.9411764705882355,28,17,,,5.780828401502742,0.0,0.0,,0.0,,0.0,,0.0,12.0,,0.8,,2.8,,20.4,13.8,0.8,,5.0,0.0,11.4,0.7,0.0,0.0,0.3,0.1,0.0,0.5,0.0,0.0,0.1,14.0,0.8,0.0,0.5
273,Leon Bailey,Aston Villa,Midfielder,2.9666666666666663,6.675,27,12,6.586149215999091,,7.497568000137442,0.0,0.3,,0.0,,6.3,,0.3,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.2,25.6,1.6,3.9,2.7,12.8,0.0,0.0,0.0,0.3,11.3,0.0,0.0,14.8
274,Dimitris Giannoulis,Norwich,Defender,2.932142857142857,7.463636363636363,28,11,,,9.089603388697181,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.1,0.0,,0.0,25.0,0.0,15.7,0.0,0.0,0.3,0.0,0.1,26.1,1.8,0.4,0.0,0.0,0.0,0.4,12.2
275,Gabriel Magalhaes,Arsenal,Defender,2.8799999999999994,3.272727272727272,25,22,3.0093501599812416,2.168115541723519,3.8489662204245825,,1.3,,,0.8,1.8,,,20.8,,4.0,,,,0.2,,0.9,0.3,1.0,0.6,1.4,0.8,11.9,0.4,0.8,0.1,10.1,2.3,0.6,10.8,0.3,0.8,0.0,0.0,0.0
276,Danny Rose,Watford,Defender,2.874999999999999,10.062499999999996,28,8,,,9.069572551160624,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.3,1.3,0.0,0.0,11.8,0.0,0.0,0.3,0.6,33.9,18.5,13.8,0.0,0.0,0.0
277,Giovani Lo Celso,Spurs,Midfielder,2.874074074074074,8.622222222222222,27,9,10.146647617759358,9.20240778343155,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,2.2,,2.3,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.3,21.3,1.5,0.0,12.6,0.0,22.0,0.0,0.0,14.4,1.0
278,Charlie Goode,Brentford,Defender,2.851724137931035,13.783333333333337,29,6,14.40582632232364,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,35.7,0.6,5.2,10.2,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,Nathan Tella,Southampton,Midfielder,2.8035714285714284,7.85,28,10,,,10.581947905614383,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,1.9,,2.0,0.0,0.0,,2.1,21.5,5.6,15.5,24.4,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.3
280,Donny van de Beek,Everton,Midfielder,2.7851851851851848,5.784615384615384,27,13,,6.52235556068048,5.469748014418246,,16.3,,3.3,,2.8,,14.1,3.3,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.8,0.0,0.0,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0
281,Ashley Barnes,Burnley,Forward,2.7592592592592586,4.966666666666666,27,15,,,0.0,,0.0,0.3,0.0,0.0,0.0,,0.3,0.1,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.3,0.6,1.3,4.5,10.8,11.6,33.6,10.1
282,Jonathan Rowe,Norwich,Midfielder,2.733333333333334,5.466666666666668,12,6,,,6.43326555693323,0.5,21.1,,0.0,,0.0,,0.0,0.1,,0.0,,0.0,,0.3,10.8,0.0,,0.0,,,,,,,,,,,,,,,,
283,Mads Roerslev Rasmussen,Brentford,Defender,2.658620689655172,5.14,29,15,7.676061724514197,,0.0,,0.1,,0.0,,0.0,,0.0,14.6,,1.1,2.3,10.8,13.8,11.2,0.5,0.0,,,1.9,15.4,0.0,0.0,0.1,0.0,4.8,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0
284,Jan Bednarek,Southampton,Defender,2.6000000000000005,3.165217391304348,28,23,,,3.2395097580853265,12.5,1.6,,10.8,,0.4,,0.1,1.0,,0.1,,14.8,,1.2,0.8,0.7,,0.0,0.7,0.0,10.9,0.0,2.4,0.4,0.4,0.9,0.6,0.3,11.7,0.1,0.0,0.0,0.4,0.0
285,Pedro Lomba Neto,Wolves,Midfielder,2.6,14.559999999999999,28,5,16.59107163566063,,15.27208477700382,22.0,37.8,,12.0,0.8,0.2,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,Cheikhou Kouyate,Crystal Palace,Defender,2.589285714285714,3.4523809523809517,28,21,,,1.8506706067346634,,0.8,,0.6,1.0,11.3,,0.0,0.0,,0.0,,0.0,,0.0,2.0,2.8,,1.1,1.6,1.0,0.2,16.8,23.9,2.8,0.3,0.0,0.1,0.0,0.1,0.8,2.1,1.8,0.8,0.6
287,Frank Onyeka,Brentford,Midfielder,2.5344827586206895,3.675,29,20,4.465006037392617,,0.0,,0.3,,0.0,,0.0,,0.0,0.6,,0.0,0.0,0.0,0.0,1.0,0.4,12.8,,,0.7,0.2,0.6,2.0,1.1,0.0,3.4,19.4,1.0,0.9,0.5,0.0,0.3,0.0,12.8,15.5
288,Emil Krafth,Newcastle,Defender,2.525925925925926,5.683333333333334,27,12,,6.062649555190554,4.186224671621312,1.2,1.6,,15.2,,13.6,,10.5,0.0,,0.0,,0.0,,,,11.1,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.8,0.9,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
289,Fabian Schar,Newcastle,Defender,2.474074074074074,3.929411764705882,27,17,,4.00170069051934,2.7631513262635825,0.1,0.2,,12.3,,10.6,,0.4,0.1,,0.1,,0.8,,,,0.4,0.0,0.0,1.8,10.2,0.3,10.3,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,7.8,0.0
290,Joe Gelhardt,Leeds,Forward,2.3807692307692307,5.158333333333333,26,12,5.271289927935461,,6.798504270327607,0.7,0.8,,0.0,0.1,20.8,,0.0,0.0,,0.5,,0.0,,14.1,,,0.5,1.4,10.3,0.0,0.0,0.0,1.6,0.0,0.0,10.8,0.3,0.0,0.0,0.0,0.0,0.0,,
291,Aaron Lennon,Burnley,Midfielder,2.372,3.2944444444444443,25,18,,,2.8,,12.6,4.8,2.5,1.1,1.0,,25.3,0.8,1.5,1.8,,,,1.2,1.3,,,,0.1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.6,0.3,0.0,0.1,0.5,,
292,Ryan Sessegnon,Spurs,Defender,2.3703703703703702,7.111111111111111,27,9,6.597912912278727,5.983915813937086,0.0,,1.4,,24.8,20.4,1.2,,0.7,0.0,,1.0,,0.0,,0.0,0.0,0.0,2.1,,,2.4,0.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293,Trevoh Chalobah,Chelsea,Defender,2.3555555555555556,3.975,27,16,,,4.269109729474145,2.6,14.0,,,,0.0,,,,,0.0,0.0,0.0,,1.8,0.3,3.1,1.3,3.7,0.0,0.0,1.1,4.4,2.0,0.0,0.0,12.8,6.2,2.9,0.0,0.0,0.4,0.0,0.0,7.0
294,Davinson Sanchez,Spurs,Defender,2.348148148148148,3.522222222222222,27,18,3.413080712703114,3.0954618411194086,0.0,,0.5,,0.0,0.0,0.0,,1.1,0.8,,0.7,,21.5,,6.4,10.3,3.9,1.3,,,0.9,1.2,,10.3,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,1.6,0.1,0.3
295,Ben Mee,Burnley,Defender,2.3481481481481477,3.019047619047618,27,21,,,0.0,,0.0,0.1,0.4,14.7,0.3,,10.1,0.4,1.0,10.2,,,,0.5,0.8,,,,0.3,0.0,0.2,,1.5,0.0,0.3,0.0,0.0,0.0,0.4,10.8,0.1,10.2,0.3,0.8
296,James Tarkowski,Burnley,Defender,2.3296296296296295,2.516,27,25,,,10.4,,0.2,0.3,0.4,0.4,0.0,,3.5,0.5,10.3,10.3,,,,0.4,0.5,,,,0.0,0.3,0.0,,20.5,0.4,0.3,0.9,0.3,0.6,0.3,0.9,0.2,0.1,0.3,0.6
297,Javier Manquillo,Newcastle,Defender,2.2925925925925927,3.8687500000000004,27,16,,4.240658016232794,2.928149986215794,0.0,0.0,,0.0,,0.0,,0.5,0.0,,0.3,,0.0,,,,11.1,0.0,0.4,3.2,0.9,1.3,0.0,0.0,0.0,10.8,1.1,14.5,11.7,0.8,0.4,4.9,0.0,0.0,0.0
298,Kristoffer Ajer,Brentford,Defender,2.2689655172413787,4.112499999999999,29,16,5.620924978729955,,1.1,,11.1,,0.5,,11.0,,5.3,0.4,,1.9,0.0,10.6,1.8,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,4.3,0.4,1.0,3.5,0.6,11.2
299,Max Kilman,Wolves,Defender,2.267857142857143,2.3518518518518516,28,27,2.559261864534249,,2.3558010609580258,0.0,1.4,,2.4,0.4,0.4,,1.0,3.4,,1.0,,0.6,,1.0,,,1.6,0.3,0.2,0.1,12.2,2.1,1.0,0.6,1.0,0.3,1.4,1.2,1.5,12.8,1.6,0.7,11.9,1.4
300,Victor Lindelof,Man Utd,Defender,2.2655172413793103,3.285,29,20,,,0.0,,0.5,,12.7,,10.8,0.5,0.0,0.0,,0.0,1.2,0.2,,0.0,0.0,0.0,,,1.3,3.0,1.0,0.1,0.5,0.8,0.7,0.3,16.3,1.4,0.2,0.0,0.0,0.0,0.8,13.4
301,Ken Sema,Watford,Midfielder,2.225,4.792307692307693,28,13,,,4.745960570753066,0.0,0.0,,1.3,0.0,0.0,,0.0,0.0,0.6,5.5,,0.0,,10.4,0.1,,,,0.1,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.8,0.0,0.8,1.1,0.0,12.4,25.2
302,Danny Welbeck,Brighton,Forward,2.2178571428571425,4.14,28,15,,4.379416831876406,0.0,,2.0,,1.2,,1.2,10.3,1.8,,,1.3,13.5,0.3,,0.0,0.5,13.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,11.6,3.2,0.5,0.0,0.0
303,Yoane Wissa,Brentford,Midfielder,2.075862068965517,2.8666666666666663,29,21,3.8376990419777917,,0.5,,0.7,,14.4,,1.5,,0.7,0.0,,0.3,1.8,11.6,1.2,2.6,0.4,21.3,,,1.2,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.1,0.0
304,Wilfred Ndidi,Leicester,Midfielder,2.0679999999999996,2.872222222222222,25,18,2.8941332689768533,,2.6855719065744834,,4.1,,2.8,,2.6,,4.3,0.3,,0.0,,0.0,,,0.3,0.0,,,0.3,3.2,0.9,12.0,1.7,1.4,0.0,0.0,0.0,0.0,2.7,3.2,3.6,2.0,3.0,3.3
305,Mohamed Naser El Sayed Elneny,Arsenal,Midfielder,1.972,7.042857142857143,25,7,6.381806009332941,4.597834102890022,8.16234550630632,,0.0,,,0.0,0.0,,,0.0,,0.0,,,,0.8,,0.3,0.0,0.0,0.0,0.0,16.8,10.3,0.5,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
306,Ozan Tufan,Watford,Midfielder,1.9666666666666668,7.585714285714286,27,7,,,6.569652699873293,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.5,,,,0.0,0.0,0.0,1.1,0.0,1.6,0.0,3.4,0.0,1.4,45.1,0.0,0.0,0.0,0.0,
307,Saul Niguez,Chelsea,Midfielder,1.9583333333333333,5.875,24,8,,,5.671017281339749,4.5,34.2,,,,0.0,,,,,0.3,0.0,0.0,,0.0,0.0,0.0,3.6,0.8,0.0,0.0,0.4,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,2.9,,,
308,Patrick Bamford,Leeds,Forward,1.9428571428571428,7.771428571428571,28,7,7.736525591917251,,9.977975598611811,10.5,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3,5.1,3.8,11.8,10.8
309,Przemyslaw Placheta,Norwich,Midfielder,1.8857142857142857,5.866666666666666,28,9,,,6.972681800726046,0.0,0.0,,0.0,,0.0,,0.0,1.6,,0.0,,0.0,,1.3,17.0,1.4,,20.8,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
310,Ezri Konsa Ngoyo,Aston Villa,Defender,1.8814814814814813,2.309090909090909,27,22,2.1496187679975534,,2.4470919742118933,0.0,0.0,,10.5,,0.0,,0.0,0.0,,0.0,,0.3,,0.5,,0.3,,0.4,0.7,0.0,0.3,0.4,11.6,0.0,0.1,0.8,0.6,10.7,0.4,0.9,0.5,0.0,10.5,1.3
311,Nathan Ake,Man City,Defender,1.8571428571428572,5.777777777777778,28,9,,,4.6338032485245515,,0.0,,0.0,,0.0,,22.5,0.0,,0.0,,0.0,,7.0,9.1,0.0,0.0,0.8,0.0,0.0,0.7,0.0,0.4,0.0,0.0,0.0,10.8,0.0,0.0,0.4,0.0,0.0,0.0,0.3
312,Grant Hanley,Norwich,Defender,1.8535714285714289,2.1625,28,24,,,2.6576462939194454,0.3,0.8,,0.1,,0.0,,0.2,0.2,,0.0,,0.1,,0.0,0.0,0.0,,0.0,0.0,1.2,0.9,0.3,0.6,0.0,13.2,1.2,0.6,0.0,0.3,10.3,11.2,0.2,0.1,10.1
313,Marc Guehi,Crystal Palace,Defender,1.8499999999999999,1.9185185185185185,28,27,,,1.1727879462431934,,0.5,,0.8,1.3,10.8,,1.3,5.5,,0.7,,0.8,,1.2,0.3,0.0,,0.3,0.5,0.1,0.6,1.4,1.3,0.6,0.3,4.5,2.1,0.7,2.1,0.6,0.7,0.7,0.2,11.9
314,Ciaran Clark,Newcastle,Defender,1.848148148148148,3.838461538461538,27,13,,4.452316751729876,3.0742991265274684,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.6,10.8,14.2,0.0,0.2,0.6,0.5,0.4,10.8,0.0,0.0,11.6
