,Name,Team,Creativity per fixture adj,Creativity per game adj,Team games,Played,Creativity GW6 adj,Creativity GW5 adj,Creativity GW4 adj,Creativity GW3 adj,Creativity GW2 adj,Creativity GW1 adj
47,Ryan Fredericks,West Ham,16.706110178336427,33.412220356672854,6,3,0.0,0.0,0.0,28.96990747330961,26.647886479591836,44.61886711711711
48,Wilfried Zaha,Crystal Palace,16.637339516952512,16.637339516952512,6,6,39.93166460176991,2.671744645799011,13.890537906137185,2.750012922465209,38.79695553021664,1.7831214953271028
49,Ryan Bertrand,Southampton,16.599509658519736,16.599509658519736,6,6,34.99154373757455,3.0995415162454876,10.42635025817556,31.700854938271604,3.3347265917602993,16.04404090909091
50,Vladimir Coufal,West Ham,16.388006338497522,16.388006338497522,3,3,18.499418238993712,4.406602996254682,26.257997780244175,,,
51,Luke Ayling,Leeds,16.104105215863267,16.104105215863267,6,6,8.778361713106294,51.602647686832746,18.499418238993712,11.447640000000002,1.0974876106194689,5.199076045627376
52,Andre-Frank Zambo Anguissa,Fulham,16.050301380022454,16.050301380022454,6,6,9.106077272727273,16.845714146341464,16.069245551601423,13.126522187822497,26.796027182866556,14.358221938775511
53,Joao Filipe Iria Santos Moutinho,Wolves,15.873500208162033,15.873500208162033,6,6,0.7878130630630632,11.86568945634267,0.2532663716814159,19.63727719298246,16.99946540880503,45.69748975609756
54,Josh Brownhill,Burnley,15.854596797072016,15.854596797072016,5,5,29.178857677902624,1.4777504302925992,11.315860360360361,12.736582109479306,24.563933407325198,
55,Juan Mata,Man Utd,15.591872831495754,38.97968207873939,5,2,44.65635740072202,33.30300675675676,0.0,0.0,0.0,
56,Helder Wander Sousa de Azevedo e Costa,Leeds,15.361362971071209,15.361362971071209,6,6,35.03140608875129,3.9607295373665488,18.499418238993712,2.140615609756097,14.520605309734512,18.015403041825095
57,Joao Pedro Cavaco Cancelo,Man City,15.221963841747225,38.05490960436806,5,2,28.898038596491226,47.211780612244894,0.0,0.0,0.0,
58,Tariq Lamptey,Brighton,15.203061020889825,15.203061020889825,6,6,1.8882366609294319,40.76053636363636,14.319032803180916,2.2661773090079818,0.6445743243243244,31.33980866425993
59,Sergio Reguilon,Spurs,14.781121619256236,29.562243238512472,4,2,0.0,18.967824561403507,40.156661915621434,0.0,,
60,Karlan Grant,West Brom,14.571712113816178,14.571712113816178,2,2,16.973436573311368,12.169987654320988,,,,
61,Rodrigo Moreno,Leeds,14.540545425235194,14.540545425235194,6,6,19.11549793601651,35.42023843416371,28.124115566037737,3.629739512195122,0.5909548672566372,0.3627262357414449
62,Antonee Robinson,Fulham,14.534432536698468,29.068865073396935,6,3,55.24353545454545,11.819920975609755,20.14313879003559,0.0,0.0,0.0
63,Sander Berge,Sheffield Utd,14.361082127323366,14.361082127323366,6,6,30.710821292775666,11.31256460176991,5.597272959183673,17.602082372322897,0.5742853457172342,20.36946619217082
64,Ola Aina,Fulham,14.343317613475259,14.343317613475259,3,3,20.293543636363633,2.140615609756097,20.59579359430605,,,
65,Timothy Castagne,Leicester,14.221746241130356,14.221746241130356,6,6,13.87150255102041,2.297141382868937,23.207691228070175,19.24939465408805,24.24183024691358,2.4629173838209986
66,Steven Alzate,Brighton,14.209425218724144,17.051310262468974,6,5,0.24629173838209986,0.0,16.12076540755467,31.454541049030787,9.883472972972974,27.551480144404334
67,Pablo Fornals,West Ham,14.193048099207887,14.193048099207887,6,6,14.749536163522013,3.572921348314607,37.90469034406215,11.99535231316726,15.575020408163267,1.3607680180180182
68,Conor Hourihane,Aston Villa,13.7695366777466,34.4238416943665,5,2,0.0,0.0,0.0,33.85327168141593,34.99441170731708,
69,Grady Diangana,West Brom,13.399880467025264,13.399880467025264,6,6,22.316925864909386,15.50691975308642,2.4199506008010685,23.189162454873646,3.413809145129225,13.552514983351834
70,Declan Rice,West Ham,13.159420391898557,13.159420391898557,6,6,14.124555817610064,4.406602996254682,12.705482796892342,3.5080747330960853,33.8269974489796,10.384808558558559
71,Kyle Walker,Man City,13.098918498999836,13.098918498999836,5,5,33.249480701754386,4.015434948979592,9.665429159802308,11.434934517203109,7.129313167259786,
72,Michail Antonio,West Ham,13.091565291118435,13.091565291118435,6,6,1.1249646226415095,25.48683895131086,24.14041731409545,16.18240925266904,3.1636760204081633,8.451085585585586
73,Daniel Castelo Podence,Wolves,13.0914390123857,15.709726814862842,6,5,18.477797297297297,1.6501952224052718,4.3899504424778755,0.0,36.998836477987425,17.03185463414634
74,Allan Saint-Maximin,Newcastle,13.088582212109541,15.706298654531448,6,5,14.824444839857652,22.93371436716078,36.70625308641975,0.0,0.9429686985172983,3.124112280701754
75,George Baldock,Sheffield Utd,13.018974702495811,13.018974702495811,6,6,25.874471482889735,13.929650442477875,15.696700255102042,1.7287759472817135,3.1175490196078433,17.76670106761566
76,Callum Wilson,Newcastle,12.836942632676275,12.836942632676275,6,6,14.937608540925266,10.968298175598632,21.003043209876544,2.8583370786516857,1.2572915980230643,25.997077192982456
77,Ross Barkley,Aston Villa,12.81638906366116,15.379666876393392,6,5,36.69719851729819,16.94064372918979,4.715441064638783,0.0,0.0,18.5450510708402
78,Adama Traore,Wolves,12.641268931884783,12.641268931884783,6,6,7.734891891891893,8.093814662273477,0.08442212389380531,9.260761403508774,48.99845911949686,1.6752643902439026
79,Jorge Luiz Frello Filho,Chelsea,12.544601897311816,15.05352227677418,6,5,2.084883124287343,7.641949265687584,27.14478272727273,0.0,1.9345399239543728,36.46145634266886
80,Jamal Lewis,Newcastle,12.461018376642002,12.461018376642002,6,6,6.450330960854093,20.2143015963512,1.5703209876543212,0.23819475655430714,1.8859373970345965,44.4070245614035
81,Phil Foden,Man City,12.450041646361315,12.450041646361315,5,5,7.587129824561403,8.882628826530613,20.588149917627675,3.9175238623751394,21.274775800711744,
82,Che Adams,Southampton,12.420952323021082,12.420952323021082,6,6,5.405197813121273,19.28603610108303,2.134528399311532,11.090391975308643,25.248644194756555,11.360915454545454
83,Scott McTominay,Man Utd,12.138428541859287,15.173035677324108,5,4,3.4439350180505417,24.207346846846846,0.9527790262172285,0.0,32.08808181818182,
84,Youri Tielemans,Leicester,12.107779804912964,12.107779804912964,6,6,10.221107142857143,4.266119711042311,16.513164912280704,2.499921383647799,34.05633641975309,5.09002925989673
85,Oliver McBurnie,Sheffield Utd,11.940697616075523,11.940697616075523,6,6,32.40354372623574,11.481408849557521,0.9734387755102042,1.0215494233937397,8.450198658410734,17.314046263345197
86,Stuart Armstrong,Southampton,11.864695802421428,17.79704370363214,6,4,25.508740556660044,0.0,25.696438037865754,4.023947530864198,15.959048689138577,0.0
87,Jordan Henderson,Liverpool,11.779048858879326,17.66857328831899,6,4,24.477474146341464,23.043211729622268,0.0,0.0,21.581992779783395,1.5716144975288302
88,Timo Werner,Chelsea,11.773362526466101,11.773362526466101,6,6,2.991354047890536,19.614336448598134,5.376921818181818,9.276988812392428,14.992684410646389,18.38788962108731
89,Pierre-Emile Højbjerg,Spurs,11.732161660716216,11.732161660716216,6,6,4.710962962962963,15.174259649122806,21.12077251995439,22.98981756756757,1.6557556742323098,4.741401590457257
90,Matthew Cash,Aston Villa,11.712839542838935,11.712839542838935,5,5,1.0215494233937397,1.1646692563817982,12.332692015209126,12.494474336283186,31.550812682926825,
91,Adam Lallana,Brighton,11.557200017575985,11.557200017575985,6,6,18.143491394148022,4.249502727272727,12.327644135188867,2.5381185860889395,0.8594324324324325,31.22501083032491
92,Leander Dendoncker,Wolves,11.39077223583189,13.668926682998267,6,5,3.939065315315316,16.894855848434926,33.17789469026548,0.0,0.0,14.33281756097561
93,Aleksandar Mitrovic,Fulham,11.309004540431799,11.309004540431799,6,6,22.808555454545456,2.6059668292682923,26.253978647686836,9.926932404540763,5.893554365733114,0.36503954081632656
94,Danny Ings,Southampton,11.203201958523586,11.203201958523586,6,6,28.258753479125254,1.0331805054151626,19.292852839931154,4.514672839506172,4.406602996254682,9.71314909090909
95,Darnell Furlong,West Brom,11.15469013603289,13.385628163239469,6,5,9.429686985172982,15.016194444444446,0.0,21.581992779783395,8.724178926441352,12.176087680355163
96,Neal Maupay,Brighton,10.988536624536392,10.988536624536392,6,6,2.298722891566265,11.44764,5.500025844930418,35.08042474344356,10.45642792792793,1.1479783393501806
97,Charlie Taylor,Burnley,10.952572829764023,10.952572829764023,5,5,16.07814606741573,1.4777504302925992,2.3634391891891893,3.820974632843792,31.022553829078802,
