,Name,Team,Position,xA per fixture adj,xA per game adj,Team games,Played,GW38,GW37*,GW37,GW36,GW35*,GW35,GW34*,GW34,GW33,GW32,GW31,GW30,GW29,GW28*,GW28,GW27,GW26,GW25*,GW25,GW24,GW23,GW22,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7*,GW7,GW6,GW5,GW4,GW3,GW2,GW1
30,Dominik Szoboszlai,Liverpool,Midfielder,21.832205680671525,25.140115632288424,38,33,18.986411358403686,,13.390008495374742,15.5942333206975,,0.4036817017643711,13.00199069101325,0.0,49.186618061142404,42.168177764565996,38.874088676318515,47.266556423942056,,,21.31705711667685,4.844180421172453,,0.0,0.0,0.0,0.0,40.42451668684075,0.0,38.09885644343417,0.5651543824701195,5.365626477541371,1.9397361771700359,5.934348350764281,19.583739012409517,15.750309608540928,31.022383934025655,25.5256036628734,11.343506968886384,69.325604249668,59.72789473684211,51.4848532215021,,21.509287338893103,45.858241320432555,16.721976976208747,38.02762412686427,15.180013114180804,14.407375439156821,36.79415960574097
31,Eberechi Eze,Crystal Palace,Midfielder,21.48849632260087,30.2430688984753,38,27,19.710092505191618,,28.82799155794321,22.34913421521998,,0.0,54.76710613743663,20.82997581104155,64.58899977548272,1.9064034819792304,25.915153305653153,31.86394232593436,,,48.96880121075601,0.8603714935557242,0.0,,0.0,0.0,0.0,22.957716520165462,93.5152043228639,29.561272226173543,36.10733529310047,0.5408072817384674,0.0,0.0,0.0,0.0,10.225133042376461,25.496091120658793,9.607624501992033,0.0,0.0,0.0,,25.047897592152204,45.43358540925267,16.06801019444969,45.985436684574054,20.985476529160742,43.883159405606214,70.56013831437437
32,Ryan Christie,Bournemouth,Midfielder,21.34672950471015,21.923668139972587,38,37,19.03484523603666,,24.92025337837838,48.09900878081729,,22.93022874571102,47.72730928626247,60.737078535019826,22.011788793103452,1.3580254821906235,4.45076126307321,0.0,,27.24039349570604,55.303892192347476,0.08073634035287422,38.64799786194258,,25.399237628956115,24.433172597864772,1.507078353253652,11.545296670461013,32.867775033677596,6.667879075056862,6.259738434163702,20.560854676531967,,2.3614179548156957,50.55608306516493,42.633787049273174,1.7603360910031025,46.333765518447294,7.4523045204642635,18.004203898690953,1.219310821181888,1.8284049409237382,,24.52857818304627,13.844666412504766,46.40969998270794,16.44534939544808,22.154565959059898,1.9109171531207902,11.948978372225385
33,Pablo Sarabia,Wolves,Midfielder,20.681811714116265,26.196961504547268,38,30,0.0,,10.61335378117458,1.0398564447159437,,0.23965155568069826,14.316763015011182,2.107924687605539,31.86394232593436,11.383823989755266,19.295985344336938,79.80445063243346,,,19.183069395017796,19.942370169610076,15.622982807652535,,42.37329605761941,49.94139847083926,25.804970603493,12.481780618311536,12.871213305375525,31.08288399570355,43.18165362731152,60.63677503026112,41.0140608992601,60.390782583949914,40.20669749573136,14.180584262073625,0.0,14.303676080363914,0.0,0.0,10.239203928457364,0.0,,0.0,0.0,0.0,40.28509553499598,0.507890261367705,31.474983797178805,29.5177244351962
34,Declan Rice,Arsenal,Midfielder,19.52722074256722,19.52722074256722,38,38,30.27025957751522,,12.903462395957197,35.61068268923667,,32.80166319181198,13.932721770707246,49.904650038372985,4.713282990371909,48.99713972550514,0.23965155568069826,19.93058185705559,,,9.181145981507823,22.297590486039297,57.5451477531037,,1.6147268070574845,49.4913766363119,34.01432532555007,19.26907323088598,21.569073813354787,20.697522241992885,24.705320147979513,4.0766232599910195,11.356952916507815,19.06737209741363,10.384900746163591,6.357834996162701,19.06853396159317,11.545296670461013,16.56903392201434,11.515531928645295,13.344015217015391,39.514544899205866,,12.142064835515813,0.8603714935557242,18.487205513784463,4.554163198573129,6.865519572953738,21.68319589702333,4.951828874976285
35,Alexis Mac Allister,Liverpool,Midfielder,19.063518905368188,21.951930860727003,38,33,31.876268610897927,,16.924970738153675,14.948954700530708,,43.8398328116107,23.05821786609381,0.20192704626334523,39.828607200321805,15.18054399524376,21.490769777662877,66.3029727411361,,,9.01208918753818,80.62869189907039,,47.770543432352525,36.11923364153627,2.09914484917473,52.50648767308341,17.56307885180702,42.95028904503354,4.067846651512502,0.0,0.0,0.0,0.0,2.6405041365046538,2.9279421708185054,7.278995113011607,0.0,13.260719414331973,16.577861885790174,43.57698442534909,3.2448436904308045,,2.688660917361638,27.611828400682985,5.225617805065234,10.81912686426279,1.7858838957859768,7.158381507505591,13.24589745806675
36,John McGinn,Aston Villa,Midfielder,18.749086308659237,20.356150849401455,38,35,1.7118312550281578,,43.696305568028734,1.1897760198246283,,10.5967179664534,,2.084085755349729,3.6409608240459304,41.76916963015647,0.0,0.0,0.0,,37.31861353297954,23.166317049134168,29.06508252703472,,1.817343416370107,31.879142390011893,1.4669467425025855,7.242751355132017,7.00888560687433,15.582113688104725,15.939571195005946,28.018682781799384,18.564075391180655,21.654135427220535,76.25613927916922,1.4497987863302462,42.48084249431388,14.538747330960856,38.96874027698729,3.0355863719555116,30.76054567444508,47.81440291634689,,44.45435855890202,1.2755308663323537,20.31373089300081,3.8218343062415805,21.556602874217415,4.367856247762263,17.95805472984788
37,Alex Iwobi,Fulham,Midfielder,18.711379895233566,22.21976362558986,38,32,27.40016119949317,,4.852663408674404,52.261907894736844,,15.748847546259054,,29.42812415806017,26.481519635742742,18.950212449728976,4.844180421172453,8.654985780765255,50.5468252463988,,69.9361849577897,38.28915554708349,36.601978299643285,,1.928161223333963,0.0,0.0,0.0,0.0,52.12322863897332,5.255520600447142,31.89085443938532,2.5796100716908557,25.9971015936255,16.254916524378675,16.433887516838798,11.060891020721412,20.781293184821596,19.650370838287756,2.3795520396492567,15.5942333206975,17.823402921406416,,15.012017119142318,13.009917538214001,2.636167112487681,0.0,0.0,15.5324098546347,41.09215391459075
38,Leon Bailey,Aston Villa,Midfielder,18.46815435272817,20.05113901153344,38,35,0.0,,48.6646901661428,1.9469062142584828,,0.8830598305377834,,59.89481236026829,1.533036136440392,18.96764224751067,19.064034819792305,30.047302379125096,32.77895418326693,,11.50746872630781,37.066107278614666,25.189738190096755,,11.61080516014235,27.662324613555292,18.776918304033096,64.29182024829517,13.509880952380955,21.637339214570293,9.951689952437576,17.823402921406416,15.436432254623046,20.69598784194529,39.3412354917532,11.326553018205049,13.443304586808189,21.30330338078292,17.97729178523999,18.21351823173307,1.130308764940239,12.889857252494245,,0.0,14.128957288604534,7.189691271118263,18.726988100583743,0.0,13.408302900107412,3.770199335548173
39,Lucas Tolentino Coelho de Lima,West Ham,Midfielder,18.43922333078928,22.602918921612662,38,31,3.466188149053146,,19.491659862030126,39.73769237420025,,3.5670453524921415,,19.058387972646823,38.16421174377224,26.737744435917115,6.237693328279,37.50356181150551,36.2065829714933,,14.048123221400113,31.793930361618337,21.79261024182077,,0.0,0.0,0.0,0.0,0.0,0.0,0.5748885511651469,36.51764194411415,56.43667229470452,7.3703371886121,13.765943896891587,24.422125905068384,24.14016576550939,18.83847941567065,0.0,36.364942713927675,21.20977345667359,15.576876202133242,,16.20976150465357,23.44058374494836,8.31885155772755,20.530149936646485,29.960723408311093,22.567084558187794,26.640052698818273
40,Gabriel Martinelli Silva,Arsenal,Midfielder,18.32934696468664,19.900433847374064,38,35,78.92614661654136,,8.686644619500596,0.6342869690194827,,0.0,1.2755308663323537,1.3064044512663084,11.247607136114782,11.356952916507815,0.958606222722793,0.8665470372632865,,,0.0,19.877128360910035,28.07806347263508,,21.718075554923164,28.096246442800226,22.03924449932645,9.150118573325745,2.9671741753821403,16.65898131672598,12.110451052931133,14.522970363718006,81.44557662981319,17.996171417783653,4.313728002252569,13.238231772831925,14.931973684210528,35.84693511667615,66.47456723203358,32.27282833505688,33.45815580148712,19.93058185705559,,0.0,0.0,0.8126244181883281,22.85515234839477,8.379972419928828,8.330912107803702,45.75059286662872
