,Name,Team,Creativity per fixture,Creativity per game,Team games,Played,Creativity GW3,Creativity GW2,Creativity GW1
369,Josh Sims,Southampton,0.0,0.0,3,0,0.0,0.0,0.0
370,John Ruddy,Wolves,0.0,0.0,3,0,0.0,0.0,0.0
371,Branislav Ivanovic,West Brom,0.0,0.0,3,0,0.0,0.0,
372,Jake Vokins,Southampton,0.0,0.0,3,0,0.0,0.0,0.0
373,Mohammed Salisu,Southampton,0.0,0.0,3,0,0.0,0.0,0.0
374,Fraser Forster,Southampton,0.0,0.0,3,0,0.0,0.0,0.0
375,Hugo Lloris,Spurs,0.0,0.0,3,3,0.0,0.0,0.0
376,Danny Rose,Spurs,0.0,0.0,3,0,0.0,0.0,0.0
377,Albian Ajeti,West Ham,0.0,0.0,3,0,0.0,0.0,0.0
378,Mesut Ozil,Arsenal,0.0,0.0,3,0,0.0,0.0,0.0
379,Elia Caprile,Leeds,0.0,0.0,3,0,0.0,0.0,
380,Christian Atsu,Newcastle,0.0,0.0,3,0,0.0,0.0,0.0
381,Jordan Pickford,Everton,0.0,0.0,3,3,0.0,0.0,0.0
382,Kepa Arrizabalaga,Chelsea,0.0,0.0,3,2,0.0,0.0,0.0
383,Emerson Palmieri dos Santos,Chelsea,0.0,0.0,3,0,0.0,0.0,0.0
384,Antonio Rudiger,Chelsea,0.0,0.0,3,0,0.0,0.0,0.0
385,Willy Caballero,Chelsea,0.0,0.0,3,1,0.0,0.0,0.0
386,Mace Goodridge,Burnley,0.0,0.0,2,0,0.0,,
387,Anthony Driscoll-Glennon,Burnley,0.0,0.0,2,0,0.0,0.0,
388,Josh Benson,Burnley,0.0,0.0,2,0,0.0,0.0,
389,Bobby Thomas,Burnley,0.0,0.0,2,0,0.0,0.0,
390,Bailey Peacock-Farrell,Burnley,0.0,0.0,2,0,0.0,0.0,
391,Nick Pope,Burnley,0.0,0.0,2,2,0.0,0.0,
392,Ben Gibson,Burnley,0.0,0.0,2,0,0.0,0.0,
393,Matthew Lowton,Burnley,0.0,0.0,2,0,0.0,0.0,
394,Johann Berg Gudmundsson,Burnley,0.0,0.0,2,0,0.0,0.0,
395,Ben Mee,Burnley,0.0,0.0,2,0,0.0,0.0,
396,Ashley Barnes,Burnley,0.0,0.0,2,0,0.0,0.0,
397,Jack Cork,Burnley,0.0,0.0,2,0,0.0,0.0,
398,James Tarkowski,Burnley,0.0,0.0,2,0,0.0,0.0,
399,Jayson Molumby,Brighton,0.0,0.0,3,0,0.0,,
400,Jason Steele,Brighton,0.0,0.0,3,0,0.0,0.0,0.0
401,Hakim Ziyech,Chelsea,0.0,0.0,3,0,0.0,0.0,0.0
402,Christian Pulisic,Chelsea,0.0,0.0,3,0,0.0,0.0,0.0
403,Billy Gilmour,Chelsea,0.0,0.0,3,0,0.0,0.0,0.0
404,Max Meyer,Crystal Palace,0.0,0.0,3,0,0.0,0.0,0.0
405,Cenk Tosun,Everton,0.0,0.0,3,0,0.0,0.0,0.0
406,Jonas Lossl,Everton,0.0,0.0,3,0,0.0,0.0,0.0
407,Fabian Delph,Everton,0.0,0.0,3,0,0.0,0.0,0.0
408,Theo Walcott,Everton,0.0,0.0,3,0,0.0,0.0,0.0
409,Ryan Inniss,Crystal Palace,0.0,0.0,3,0,0.0,0.0,
410,Sam Woods,Crystal Palace,0.0,0.0,3,0,0.0,0.0,0.0
411,Brandon Pierrick,Crystal Palace,0.0,0.0,3,0,0.0,0.0,0.0
412,Nathan Ferguson,Crystal Palace,0.0,0.0,3,0,0.0,0.0,0.0
413,Patrick van Aanholt,Crystal Palace,0.0,0.0,3,0,0.0,0.0,0.0
414,Benjamin Chilwell,Chelsea,0.0,0.0,3,0,0.0,0.0,0.0
415,Connor Wickham,Crystal Palace,0.0,0.0,3,0,0.0,0.0,0.0
416,Martin Kelly,Crystal Palace,0.0,0.0,3,0,0.0,0.0,0.0
417,Christian Benteke,Crystal Palace,0.0,0.0,3,1,0.0,0.0,0.0
418,James Tomkins,Crystal Palace,0.0,0.0,3,0,0.0,0.0,0.0
419,Vicente Guaita,Crystal Palace,0.0,0.0,3,3,0.0,0.0,0.0
420,Wayne Hennessey,Crystal Palace,0.0,0.0,3,0,0.0,0.0,0.0
421,Gary Cahill,Crystal Palace,0.0,0.0,3,0,0.0,0.0,0.0
422,Edouard Mendy,Chelsea,0.0,0.0,3,0,0.0,,
423,Christian Walton,Brighton,0.0,0.0,3,0,0.0,0.0,0.0
424,Alexis Mac Allister,Brighton,0.0,0.0,3,0,0.0,0.0,0.0
