,Name,Team,Position,xA per fixture adj,xA per game adj,Team games,Played,GW38,GW37*,GW37,GW36*,GW36,GW35,GW34*,GW34,GW33*,GW33,GW32,GW31*,GW31,GW30,GW29*,GW29,GW28*,GW28,GW27*,GW27,GW26*,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21*,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
156,Nelson Cabral Semedo,Wolves,Defender,7.42157215045306,11.280789668688652,38,25,0.0,,0.0,0.0,0.0,1.0277290836653388,,22.608654081882815,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,1.505693247126437,17.479697680479543,,22.68804819277108,35.09423491379311,,15.01694234784005,,2.943069024529379,,32.78308096415327,,,0.0,1.8499123505976098,1.392013567684243,8.880696044066099,17.233169894582005,3.4141328116008745,3.1384176863181312,1.4442204995693368,12.671055718475074,9.142064122946476,15.06532946673111,4.340933950357593,3.0350399315459216,6.00677693913602,4.198233027766707,12.953800988875154,26.10679518072289,0.0
157,Antonio Rudiger,Chelsea,Defender,7.398283344334894,8.268669620138999,38,34,4.455267702936097,,5.462405525149857,3.5030339162692106,14.424514886683452,5.011686217008798,3.7864956736711988,0.0,,0.0,3.86277809469481,,3.624779187409667,,,3.4365727106997617,0.0,4.189715616572689,,,,6.332351421188631,,,,,0.9323855421686748,15.415936254980082,8.550940487203206,,9.526564847270906,2.1582310756972114,2.8052682455292413,2.483691304991853,7.092008797653959,1.4524774774774776,25.555686874304783,1.3708516009034146,2.590760197775031,9.748292937190515,19.20945084579554,9.767101388304587,9.871297042237313,0.0,10.852567027952086,55.28282454517422,16.16134939759036,1.1428870629933947,5.328417626439659,1.9689834770114945,3.7771920757967266
158,Thomas Partey,Arsenal,Midfielder,7.3031907555413555,11.56338536294048,38,24,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2.66625322997416,17.45500241662639,4.198147220831247,9.832329945269741,,13.365803108808292,,,36.1090505110354,27.8590171832343,,,1.6239520071100577,,0.0,,,,24.061948812827627,,10.093957877776498,6.407988871224166,6.1871662958843165,23.820464917284657,5.957287390029325,5.081875772558714,3.5270088346655446,3.2293440160240356,0.0,1.5967031535053429,7.065120025777348,15.219862187769163,16.135346613545817,23.413236947791166,12.094839421426821,0.5195419495914374,0.0,0.0,0.0
159,Jacob Murphy,Newcastle,Midfielder,7.302964142145733,8.409473860652662,38,33,1.4229222848737437,,0.23164511494252876,,26.448257786000617,0.1614672008012018,,31.543618368051558,0.33328165374677,0.08403700807922858,0.0,,11.085028112449798,,26.949633431085044,0.8671896010757508,10.944537934968627,11.61333864541833,,17.088244740645575,,20.71355672969967,,0.0,0.09456011730205278,,0.0,,0.5140693503387804,,,,12.65486711990111,1.392013567684243,1.4532048072108161,21.84962210059943,0.0,0.0,13.20377155172414,31.06953589208286,2.774868525896415,0.0,0.0,1.657574297188755,0.7642127092282625,0.2570346751693902,0.0,0.49822311495673666,10.39271249286937,1.2467858869018849,18.20282258064516
160,Sergi Canos,Brentford,Midfielder,7.296237450203557,8.9437749389592,38,31,0.5980789613142554,,0.0,,0.0,0.0,,0.0,,0.0,0.26900723025583984,,0.0,0.0,,38.02364550134837,,9.277534814132812,,0.6330528677604824,,2.8955639367816093,,16.219707149009473,19.8859081097749,,2.1971115390312543,0.7971569839307787,2.0990736104156236,1.103650884198517,0.4155952956339617,0.0,31.242964143426295,,,0.0,10.167342342342344,1.2431807228915661,0.9456011730205278,22.88033936334315,5.269639774427437,13.280607992154941,30.673507948918427,6.937516808606007,1.0760289210233593,6.620155232849273,7.4510739149755585,1.3360478087649403,1.2467858869018849,25.329405684754523,17.141738505747128
161,Joel Veltman,Brighton,Defender,7.247122728016441,8.099725401900727,38,34,1.0760289210233593,,1.110718071012189,,11.25984239802225,10.316871574581544,,1.1956217912150602,0.994295405488745,1.2431807228915661,0.23164511494252876,,1.1133041776959374,,18.233317269076306,0.8073360040060089,,12.932365727107,,1.8701788303528275,,2.6086908556018633,20.327503090234856,20.391417563438292,,,3.445517331248371,2.746100403406544,14.108923341946596,,8.79409090909091,20.81255042581802,0.0,,10.794504517849207,,0.45985453508271545,1.7933815350389322,2.3923158452570217,0.0,25.231678586453512,1.6146720080120178,0.596577243293247,1.8555069628265624,18.879076867816096,18.552678725236863,12.605551211884286,3.624779187409667,21.37058651026393,0.0,0.0
162,James McArthur,Crystal Palace,Midfielder,7.239067129980695,13.099264330441258,38,21,0.09964462299134734,0.0,0.0,,0.0,24.832144894466634,,1.110718071012189,,36.80750245407376,1.0084440969507429,,0.3474676724137931,,,0.0,,0.0,,11.225275802892865,9.167570081041584,4.914074406095922,,0.8285209571222097,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,16.23952007110058,25.056244218316372,17.635044173327724,14.709464798850576,17.143549648162626,24.048860557768926,19.376064096144216,6.008706827309236,5.29047552836485,1.6570419142444195,37.57821604661587
163,Chris Wood,Newcastle,Forward,7.187245338795939,7.61002447637217,36,34,0.07905123804854132,,0.0,,7.5566450817144615,0.48440160240360536,,0.0,3.8882859603789837,0.7563330727130572,10.985557695156272,,2.175566265060241,,11.536334310850439,1.1562528014343345,0.9197090701654309,17.26584860557769,,24.54493335474546,,20.89289488320356,,13.922442403737715,1.4184017595307918,,20.676444091149975,,1.0281387006775609,,0.6835188129305777,12.256288627935723,,,,1.9727196885428255,11.756696115551817,10.030291808620944,,0.7776571920757966,0.722658000896459,3.7283443070499436,2.1153308613804906,4.772617946345976,9.648636206698123,1.932851185822257,13.667061781609197,2.4585630498533724,29.305869104398518,1.2917376064096144,12.332749003984064
164,Matthew Lowton,Burnley,Defender,7.112253718135726,10.810625651566305,38,25,0.0,0.0,0.6215903614457831,,0.0,0.0,,0.0,0.0,0.8070216907675195,20.33635631257912,0.28368035190615837,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,21.27452305246423,19.629990729295425,,,,14.526390433815351,10.128845884167719,1.6239520071100577,,1.4442204995693368,2.1679740026893772,16.259723783523363,13.611694238448377,29.82886216466235,5.343860052940499,21.345400052124056,29.88221982758621,14.656818181818181,9.483823529411765,20.66780170255383,16.340892430278885
165,Ruben Loftus-Cheek,Chelsea,Midfielder,7.054056532864287,11.168922843701788,38,24,0.0,,10.336551993745115,14.524774774774777,2.770271070952451,16.358900293255132,0.298933868974042,45.0138765294772,,22.23793103448276,16.186879634911584,,28.16971254215513,,,0.0,9.574415928185061,0.8695636185339545,,,,0.33328165374677,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.6878445747800583,8.11678590355061,28.06642102335929,13.965550684203537,3.7864956736711988,0.5042220484753714,0.8695636185339545,3.0748282148366286,8.461111750489124,9.113730528344307,20.141628636622933,1.5908726487819922,0.0,0.0,0.0,0.0,0.0
