,Name,Team,Position,xG per fixture,xG per game,Team games,Played,GW38,GW37*,GW37,GW36*,GW36,GW35,GW34*,GW34,GW33*,GW33,GW32,GW31*,GW31,GW30,GW29*,GW29,GW28*,GW28,GW27*,GW27,GW26*,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21*,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
67,Emile Smith Rowe,Arsenal,Midfielder,15.157894736842104,17.454545454545453,38,33,0.0,,0.0,0.0,0.0,2.0,,0.0,19.0,37.0,24.0,,17.0,20.0,20.0,19.0,,0.0,,,0.0,25.0,,,2.0,,41.0,,,,0.0,,33.0,19.0,14.0,0.0,0.0,7.0,53.0,0.0,11.0,17.0,39.0,15.0,19.0,21.0,21.0,19.0,6.0,31.0,25.0
68,Adam Armstrong,Southampton,Forward,15.131578947368421,25.0,38,23,8.0,,0.0,,18.0,0.0,,0.0,0.0,0.0,10.0,,0.0,,,0.0,6.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,17.0,8.0,0.0,,0.0,29.0,0.0,11.0,90.0,67.0,21.0,43.0,0.0,0.0,19.0,20.0,71.0,21.0,50.0,26.0,40.0
69,Jean-Philippe Mateta,Crystal Palace,Forward,14.947368421052632,25.818181818181817,38,22,0.0,34.0,24.0,,24.0,79.0,,38.0,,6.0,27.0,,28.0,,,6.0,,125.0,,0.0,25.0,0.0,,0.0,25.0,,23.0,,0.0,,31.0,73.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Marcos Alonso,Chelsea,Defender,14.894736842105264,20.214285714285715,38,28,0.0,,19.0,8.0,10.0,24.0,35.0,18.0,,70.0,46.0,,53.0,,,0.0,0.0,0.0,,,,0.0,,,,,0.0,43.0,1.0,,26.0,0.0,28.0,4.0,12.0,7.0,18.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,73.0,12.0,4.0,6.0,29.0
71,Ademola Lookman,Leicester,Midfielder,14.8,19.923076923076923,35,26,2.0,0.0,0.0,41.0,4.0,0.0,,4.0,2.0,29.0,25.0,,0.0,0.0,,0.0,,14.0,,4.0,,78.0,,6.0,4.0,,47.0,,22.0,,,19.0,25.0,,,0.0,6.0,4.0,45.0,0.0,6.0,19.0,0.0,0.0,9.0,20.0,48.0,35.0,,,
72,Alexis Mac Allister,Brighton,Midfielder,14.473684210526315,16.666666666666668,38,33,10.0,,35.0,,20.0,55.0,,8.0,1.0,5.0,2.0,,32.0,,42.0,0.0,,0.0,,12.0,,29.0,18.0,4.0,,,17.0,35.0,10.0,,34.0,46.0,11.0,,1.0,,0.0,0.0,0.0,10.0,10.0,0.0,17.0,0.0,10.0,0.0,0.0,10.0,10.0,39.0,17.0
73,Jadon Sancho,Man Utd,Midfielder,14.447368421052632,18.93103448275862,38,29,0.0,,,,0.0,0.0,0.0,4.0,23.0,63.0,10.0,,12.0,,,27.0,,27.0,,9.0,,47.0,49.0,52.0,54.0,,0.0,0.0,0.0,,30.0,8.0,4.0,,,8.0,30.0,2.0,17.0,4.0,0.0,0.0,0.0,6.0,21.0,0.0,0.0,32.0,4.0,6.0,0.0
74,Ismaila Sarr,Watford,Midfielder,14.210526315789474,24.545454545454547,38,22,0.0,,0.0,0.0,2.0,2.0,,6.0,,29.0,6.0,,3.0,,,0.0,0.0,0.0,,19.0,8.0,7.0,,38.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,58.0,0.0,23.0,4.0,31.0,12.0,48.0,109.0,10.0,74.0,7.0,44.0
75,Matthew Cash,Aston Villa,Defender,14.052631578947368,14.052631578947368,38,38,17.0,54.0,2.0,3.0,17.0,19.0,,2.0,,,24.0,,41.0,0.0,,2.0,21.0,4.0,,11.0,,6.0,,22.0,20.0,,0.0,,4.0,,2.0,,26.0,,28.0,4.0,47.0,0.0,4.0,23.0,4.0,8.0,2.0,29.0,25.0,2.0,42.0,6.0,6.0,6.0,1.0
76,Pablo Fornals,West Ham,Midfielder,14.0,14.777777777777779,38,36,4.0,,0.0,,22.0,22.0,,0.0,,2.0,4.0,,28.0,0.0,,22.0,,39.0,,5.0,,26.0,,8.0,0.0,,19.0,,35.0,10.0,0.0,0.0,2.0,,1.0,0.0,0.0,8.0,0.0,0.0,7.0,41.0,37.0,44.0,28.0,21.0,13.0,0.0,39.0,21.0,24.0
77,Emiliano Buendia Stati,Aston Villa,Midfielder,13.973684210526315,15.17142857142857,38,35,0.0,68.0,18.0,4.0,22.0,5.0,,1.0,,,21.0,,6.0,2.0,,35.0,0.0,6.0,,0.0,,16.0,,14.0,1.0,,49.0,,46.0,,58.0,,0.0,,34.0,4.0,8.0,28.0,2.0,8.0,22.0,2.0,21.0,7.0,0.0,2.0,0.0,0.0,9.0,2.0,10.0
78,Christian Benteke,Crystal Palace,Forward,13.763157894736842,20.92,38,25,0.0,4.0,2.0,,0.0,0.0,,2.0,,0.0,0.0,,0.0,,,0.0,,2.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,64.0,0.0,0.0,,4.0,40.0,35.0,25.0,36.0,69.0,44.0,8.0,84.0,30.0,2.0,0.0,30.0,10.0,20.0,8.0,4.0
79,Hee-Chan Hwang,Wolves,Forward,13.742857142857142,16.03333333333333,35,30,48.0,,12.0,4.0,17.0,6.0,,21.0,,,20.0,,6.0,7.0,,0.0,22.0,13.0,,14.0,52.0,2.0,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,10.0,35.0,4.0,10.0,6.0,8.0,17.0,20.0,40.0,22.0,30.0,35.0,,,
80,Mason Greenwood,Man Utd,Midfielder,13.578947368421053,28.666666666666668,38,18,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,38.0,31.0,49.0,,9.0,52.0,25.0,,,2.0,3.0,0.0,0.0,0.0,5.0,0.0,21.0,24.0,18.0,109.0,2.0,39.0,31.0,31.0,27.0
81,Trent Alexander-Arnold,Liverpool,Defender,13.552631578947368,16.09375,38,32,37.0,,0.0,10.0,41.0,0.0,,0.0,,0.0,19.0,,0.0,,0.0,6.0,,17.0,,,10.0,0.0,,14.0,22.0,,2.0,,31.0,,25.0,14.0,,28.0,11.0,14.0,7.0,7.0,4.0,45.0,19.0,5.0,11.0,9.0,0.0,19.0,0.0,28.0,29.0,27.0,4.0
82,Joel Matip,Liverpool,Defender,13.394736842105264,16.419354838709676,38,31,31.0,,17.0,52.0,0.0,0.0,,44.0,,2.0,0.0,,20.0,,18.0,9.0,,0.0,,,19.0,0.0,,0.0,20.0,,4.0,,46.0,,0.0,33.0,,4.0,17.0,29.0,8.0,8.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,20.0,18.0,56.0,22.0
83,Dwight McNeil,Burnley,Midfielder,13.289473684210526,13.289473684210526,38,38,16.0,10.0,22.0,,32.0,30.0,,25.0,24.0,0.0,12.0,18.0,0.0,,,30.0,,32.0,10.0,0.0,32.0,27.0,,2.0,7.0,1.0,22.0,,,,0.0,18.0,,,,1.0,4.0,25.0,,4.0,0.0,2.0,13.0,0.0,16.0,2.0,14.0,21.0,11.0,22.0,0.0
84,Hakim Ziyech,Chelsea,Midfielder,13.263157894736842,21.91304347826087,38,23,22.0,,61.0,5.0,0.0,2.0,0.0,3.0,,0.0,2.0,,19.0,,,2.0,0.0,0.0,,,,57.0,,,,,40.0,15.0,4.0,,0.0,0.0,0.0,0.0,31.0,0.0,46.0,34.0,65.0,10.0,0.0,45.0,9.0,0.0,0.0,0.0,0.0,20.0,0.0,12.0,0.0
85,Roberto Firmino,Liverpool,Forward,13.078947368421053,24.85,38,20,26.0,,64.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,46.0,,35.0,0.0,,0.0,,,0.0,0.0,,6.0,62.0,,8.0,,26.0,,0.0,0.0,,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,32.0,111.0,2.0,10.0,0.0,0.0,0.0,9.0,21.0
86,Callum Wilson,Newcastle,Forward,13.0,27.444444444444443,38,18,60.0,,30.0,,21.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,,,0.0,27.0,4.0,6.0,57.0,21.0,6.0,71.0,10.0,6.0,28.0,25.0,0.0,0.0,0.0,0.0,37.0,15.0,70.0
87,Jordan Ayew,Crystal Palace,Forward,12.921052631578947,15.838709677419354,38,31,0.0,39.0,0.0,,0.0,41.0,,2.0,,2.0,40.0,,9.0,,,0.0,,0.0,,0.0,2.0,6.0,,8.0,0.0,,0.0,,0.0,,37.0,0.0,30.0,,33.0,25.0,12.0,12.0,7.0,18.0,18.0,6.0,0.0,7.0,15.0,16.0,37.0,26.0,20.0,4.0,19.0
88,Christian Eriksen,Brentford,Midfielder,12.8,17.454545454545453,15,11,20.0,,20.0,,4.0,26.0,,35.0,,16.0,26.0,,18.0,0.0,,15.0,,8.0,,4.0,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Jeffrey Schlupp,Crystal Palace,Midfielder,12.789473684210526,15.1875,38,32,25.0,24.0,33.0,,17.0,22.0,,2.0,,0.0,36.0,,0.0,,,0.0,,12.0,,35.0,0.0,21.0,,5.0,22.0,,8.0,,8.0,,47.0,97.0,2.0,,0.0,0.0,2.0,1.0,0.0,2.0,2.0,4.0,8.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,4.0
90,Mateusz Klich,Leeds,Midfielder,12.736842105263158,14.666666666666666,38,33,8.0,,24.0,8.0,0.0,6.0,,2.0,,,0.0,,18.0,0.0,,4.0,0.0,0.0,,19.0,0.0,65.0,,2.0,42.0,,11.0,,37.0,,0.0,,,2.0,1.0,36.0,18.0,0.0,0.0,2.0,0.0,0.0,17.0,2.0,23.0,44.0,58.0,0.0,0.0,25.0,10.0
91,Antonio Rudiger,Chelsea,Defender,12.736842105263158,14.235294117647058,38,34,0.0,,19.0,0.0,2.0,56.0,19.0,0.0,,0.0,1.0,,33.0,,,6.0,0.0,31.0,,,,11.0,,,,,2.0,0.0,0.0,,6.0,35.0,0.0,14.0,24.0,14.0,10.0,0.0,17.0,33.0,32.0,19.0,43.0,0.0,15.0,0.0,34.0,6.0,0.0,2.0,0.0
92,Pontus Jansson,Brentford,Defender,12.526315789473685,12.864864864864865,38,37,0.0,,2.0,,53.0,2.0,,24.0,,52.0,0.0,,0.0,77.0,,0.0,,2.0,,4.0,,0.0,,33.0,2.0,,6.0,2.0,0.0,0.0,6.0,0.0,35.0,,,37.0,0.0,12.0,2.0,0.0,39.0,2.0,9.0,43.0,19.0,7.0,0.0,2.0,2.0,2.0,0.0
93,Gabriel Magalhaes,Arsenal,Defender,12.368421052631579,13.428571428571429,38,35,17.0,,0.0,2.0,24.0,33.0,,4.0,2.0,17.0,33.0,,33.0,4.0,0.0,0.0,,7.0,,,18.0,2.0,,,57.0,,23.0,,,,0.0,,0.0,21.0,4.0,37.0,17.0,19.0,4.0,0.0,33.0,33.0,2.0,6.0,4.0,6.0,0.0,8.0,0.0,0.0,0.0
94,Milot Rashica,Norwich,Midfielder,12.105263157894736,14.838709677419354,38,31,23.0,,0.0,2.0,2.0,15.0,,4.0,,40.0,47.0,,26.0,,,12.0,5.0,25.0,,0.0,,10.0,,25.0,10.0,,15.0,,3.0,,19.0,0.0,0.0,,0.0,0.0,0.0,0.0,14.0,15.0,31.0,38.0,17.0,2.0,2.0,0.0,38.0,2.0,8.0,4.0,6.0
95,Youri Tielemans,Leicester,Midfielder,12.105263157894736,14.375,38,32,18.0,0.0,2.0,27.0,22.0,0.0,,2.0,0.0,7.0,19.0,,7.0,0.0,,0.0,,9.0,,9.0,,34.0,,22.0,0.0,,34.0,,10.0,,,0.0,0.0,,,42.0,0.0,0.0,0.0,0.0,25.0,18.0,7.0,30.0,7.0,38.0,26.0,0.0,3.0,35.0,7.0
96,Patson Daka,Leicester,Forward,12.105263157894736,20.0,38,23,0.0,0.0,17.0,0.0,41.0,17.0,,21.0,4.0,2.0,14.0,,0.0,0.0,,4.0,,0.0,,59.0,,44.0,,0.0,0.0,,39.0,,48.0,,,0.0,0.0,,,19.0,27.0,0.0,0.0,0.0,0.0,2.0,33.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Daniel Castelo Podence,Wolves,Midfielder,12.078947368421053,17.653846153846153,38,26,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,21.0,19.0,,23.0,29.0,51.0,,8.0,2.0,27.0,,45.0,17.0,,0.0,,17.0,,67.0,,,24.0,44.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,25.0,4.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0
98,Virgil van Dijk,Liverpool,Defender,11.973684210526315,13.382352941176471,38,34,0.0,,0.0,33.0,33.0,23.0,,5.0,,2.0,0.0,,4.0,,19.0,2.0,,4.0,,,21.0,19.0,,2.0,25.0,,17.0,,34.0,,0.0,21.0,,0.0,0.0,17.0,0.0,8.0,17.0,22.0,20.0,0.0,0.0,2.0,2.0,17.0,10.0,24.0,15.0,31.0,6.0
99,Jay Rodriguez,Burnley,Forward,11.973684210526315,15.689655172413794,38,29,0.0,0.0,0.0,,0.0,0.0,,1.0,60.0,31.0,30.0,59.0,7.0,,,1.0,,14.0,4.0,2.0,38.0,9.0,,17.0,23.0,4.0,5.0,,,,0.0,0.0,,,,31.0,0.0,3.0,,0.0,6.0,0.0,18.0,0.0,41.0,0.0,4.0,12.0,0.0,18.0,17.0
100,Joseph Willock,Newcastle,Midfielder,11.81578947368421,15.482758620689655,38,29,0.0,,0.0,,0.0,0.0,,37.0,0.0,2.0,0.0,,26.0,,38.0,0.0,14.0,8.0,,27.0,,72.0,,39.0,31.0,,35.0,,0.0,,,,0.0,0.0,0.0,25.0,6.0,0.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,30.0,5.0,19.0,4.0,8.0,0.0
101,Dominic Calvert-Lewin,Everton,Forward,11.789473684210526,26.352941176470587,38,17,7.0,27.0,35.0,2.0,0.0,0.0,,0.0,,0.0,0.0,8.0,15.0,,0.0,0.0,,32.0,,0.0,,26.0,,37.0,0.0,,15.0,,19.0,,47.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,74.0,83.0
102,Rodrigo Hernandez,Man City,Midfielder,11.68421052631579,13.454545454545455,38,33,9.0,,33.0,1.0,25.0,21.0,,29.0,,18.0,12.0,,12.0,,,26.0,,4.0,,16.0,,8.0,,0.0,11.0,,14.0,,18.0,,19.0,0.0,0.0,20.0,4.0,29.0,4.0,23.0,0.0,7.0,18.0,25.0,6.0,0.0,1.0,8.0,0.0,2.0,17.0,4.0,0.0
103,Abdoulaye Doucoure,Everton,Midfielder,11.605263157894736,14.7,38,30,0.0,7.0,34.0,23.0,23.0,10.0,,4.0,,0.0,0.0,8.0,0.0,,1.0,2.0,,4.0,,4.0,,0.0,,0.0,0.0,,8.0,,10.0,,22.0,,,,4.0,18.0,21.0,35.0,26.0,0.0,0.0,0.0,0.0,9.0,38.0,35.0,0.0,21.0,21.0,16.0,37.0
104,Reece James,Chelsea,Defender,11.578947368421053,16.923076923076923,38,26,4.0,,46.0,4.0,9.0,25.0,61.0,0.0,,2.0,1.0,,0.0,,,0.0,0.0,41.0,,,,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,5.0,2.0,14.0,3.0,9.0,0.0,13.0,16.0,44.0,53.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,2.0
105,Sergi Canos,Brentford,Midfielder,11.552631578947368,14.161290322580646,38,31,17.0,,0.0,,0.0,0.0,,0.0,,0.0,7.0,,0.0,0.0,,28.0,,26.0,,0.0,,2.0,,11.0,0.0,,12.0,0.0,20.0,2.0,2.0,0.0,27.0,,,0.0,69.0,4.0,4.0,5.0,75.0,18.0,2.0,4.0,35.0,2.0,4.0,0.0,26.0,2.0,35.0
106,Joe Gelhardt,Leeds,Forward,11.444444444444445,20.6,36,20,2.0,,49.0,0.0,0.0,43.0,,9.0,,,0.0,,6.0,0.0,,33.0,25.0,36.0,,0.0,0.0,43.0,,0.0,0.0,,2.0,,0.0,,10.0,,,6.0,0.0,33.0,0.0,0.0,0.0,60.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,,
107,Christian Pulisic,Chelsea,Midfielder,11.421052631578947,19.727272727272727,38,22,0.0,,20.0,26.0,30.0,2.0,2.0,17.0,,0.0,35.0,,0.0,,,0.0,0.0,45.0,,,,27.0,,,,,0.0,0.0,2.0,,53.0,8.0,4.0,23.0,33.0,0.0,6.0,10.0,6.0,39.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0
108,Christian Nørgaard,Brentford,Midfielder,11.421052631578947,12.4,38,35,0.0,,0.0,,11.0,0.0,,0.0,,35.0,0.0,,20.0,0.0,,8.0,,2.0,,11.0,,21.0,,7.0,2.0,,6.0,10.0,0.0,4.0,2.0,0.0,4.0,,,28.0,4.0,6.0,0.0,2.0,66.0,10.0,33.0,96.0,2.0,2.0,0.0,2.0,0.0,0.0,40.0
109,Jacob Ramsey,Aston Villa,Midfielder,11.368421052631579,12.705882352941176,38,34,0.0,10.0,4.0,0.0,0.0,33.0,,22.0,,,21.0,,3.0,2.0,,13.0,4.0,7.0,,20.0,,24.0,,2.0,38.0,,0.0,,36.0,,6.0,,0.0,,57.0,0.0,26.0,0.0,0.0,0.0,4.0,0.0,11.0,0.0,38.0,3.0,13.0,29.0,0.0,1.0,5.0
110,Lucas Rodrigues Moura da Silva,Spurs,Midfielder,11.342105263157896,12.676470588235295,38,34,0.0,,18.0,2.0,0.0,16.0,,0.0,,2.0,2.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,6.0,0.0,,11.0,10.0,,0.0,,24.0,,13.0,63.0,58.0,0.0,,,17.0,21.0,,3.0,24.0,0.0,4.0,37.0,12.0,13.0,0.0,11.0,21.0,0.0,43.0
111,Kyle Walker-Peters,Southampton,Defender,11.18421052631579,13.28125,38,32,2.0,,4.0,,28.0,0.0,,24.0,26.0,2.0,2.0,,29.0,,,25.0,0.0,2.0,,36.0,,60.0,,24.0,4.0,,17.0,,0.0,,0.0,4.0,20.0,,4.0,2.0,4.0,21.0,0.0,14.0,10.0,10.0,0.0,0.0,6.0,34.0,2.0,0.0,9.0,0.0,0.0
112,James Ward-Prowse,Southampton,Midfielder,10.868421052631579,11.472222222222221,38,36,19.0,,8.0,,25.0,1.0,,37.0,7.0,7.0,0.0,,15.0,,,1.0,2.0,16.0,,2.0,,7.0,,18.0,15.0,,0.0,,17.0,,8.0,24.0,17.0,,24.0,16.0,13.0,6.0,2.0,18.0,9.0,0.0,0.0,0.0,18.0,13.0,0.0,0.0,34.0,14.0,0.0
113,Edward Nketiah,Arsenal,Forward,10.736842105263158,19.428571428571427,38,21,69.0,,22.0,21.0,86.0,58.0,,25.0,51.0,14.0,26.0,,7.0,0.0,0.0,0.0,,4.0,,,4.0,0.0,,,0.0,,4.0,,,,0.0,,0.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,Marcus Rashford,Man Utd,Midfielder,10.68421052631579,16.24,38,25,0.0,,,,0.0,0.0,2.0,0.0,4.0,8.0,48.0,,4.0,,,0.0,,4.0,,6.0,,0.0,0.0,8.0,70.0,,39.0,19.0,0.0,,2.0,0.0,31.0,,,25.0,14.0,15.0,6.0,21.0,0.0,17.0,44.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Yoane Wissa,Brentford,Midfielder,10.578947368421053,13.4,38,30,23.0,,42.0,,51.0,2.0,,0.0,,39.0,6.0,,17.0,15.0,,6.0,,0.0,,4.0,,17.0,,15.0,18.0,,3.0,0.0,0.0,0.0,13.0,35.0,5.0,,,6.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,17.0,53.0,0.0,0.0,2.0,0.0,0.0
116,Vitaly Janelt,Brentford,Midfielder,10.526315789473685,12.903225806451612,38,31,1.0,,2.0,,0.0,2.0,,6.0,,8.0,22.0,,57.0,22.0,,16.0,,1.0,,19.0,,8.0,,20.0,0.0,,0.0,45.0,1.0,26.0,0.0,0.0,0.0,,,41.0,2.0,2.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,33.0,18.0,21.0,0.0,16.0,2.0
117,Nicolas Pepe,Arsenal,Midfielder,10.526315789473685,20.0,38,20,9.0,,4.0,0.0,0.0,0.0,,0.0,0.0,6.0,56.0,,0.0,2.0,0.0,0.0,,8.0,,,21.0,38.0,,,0.0,,0.0,,,,0.0,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,4.0,0.0,48.0,92.0,0.0,0.0,51.0
118,Juan Camilo Hernandez Suarez,Watford,Forward,10.447368421052632,15.88,38,25,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,3.0,,35.0,,,37.0,23.0,44.0,,0.0,1.0,0.0,,0.0,0.0,10.0,54.0,,0.0,,0.0,1.0,,,,1.0,37.0,0.0,42.0,2.0,0.0,7.0,33.0,28.0,0.0,0.0,0.0,6.0,4.0,3.0,26.0
119,Thomas Partey,Arsenal,Midfielder,10.368421052631579,16.416666666666668,38,24,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,2.0,7.0,16.0,68.0,,2.0,,,6.0,50.0,,,34.0,,0.0,,,,2.0,,7.0,26.0,16.0,1.0,1.0,8.0,10.0,7.0,0.0,9.0,77.0,10.0,3.0,8.0,20.0,4.0,0.0,0.0,0.0
120,Francisco Machado Mota de Castro Trincao,Wolves,Midfielder,10.263157894736842,13.928571428571429,38,28,0.0,,0.0,0.0,27.0,0.0,,8.0,,,0.0,,21.0,46.0,,6.0,0.0,0.0,,6.0,0.0,0.0,,0.0,10.0,,0.0,,0.0,,4.0,,,0.0,19.0,0.0,0.0,20.0,2.0,0.0,8.0,35.0,0.0,0.0,25.0,0.0,9.0,30.0,26.0,61.0,27.0
121,Kelechi Iheanacho,Leicester,Forward,10.263157894736842,15.0,38,26,0.0,1.0,0.0,0.0,26.0,10.0,,0.0,32.0,34.0,0.0,,27.0,28.0,,11.0,,2.0,,0.0,,0.0,,0.0,8.0,,0.0,,0.0,,,22.0,67.0,,,0.0,2.0,0.0,0.0,0.0,0.0,7.0,3.0,48.0,9.0,29.0,2.0,6.0,8.0,0.0,8.0
122,Craig Dawson,West Ham,Defender,10.236842105263158,11.441176470588236,38,34,2.0,,6.0,,38.0,0.0,,2.0,,2.0,2.0,,0.0,4.0,,7.0,,0.0,,18.0,,35.0,,35.0,2.0,,0.0,,29.0,9.0,2.0,0.0,38.0,,1.0,0.0,19.0,6.0,0.0,6.0,24.0,0.0,0.0,2.0,0.0,0.0,0.0,17.0,36.0,27.0,20.0
123,Stuart Armstrong,Southampton,Midfielder,9.921052631578947,15.08,38,25,8.0,,0.0,,21.0,5.0,,5.0,18.0,17.0,10.0,,2.0,,,1.0,72.0,24.0,,62.0,,18.0,,25.0,29.0,,0.0,,19.0,,0.0,18.0,8.0,,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,Jakub Moder,Brighton,Midfielder,9.789473684210526,13.285714285714286,38,28,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,4.0,0.0,,4.0,,20.0,,6.0,37.0,53.0,,,10.0,10.0,30.0,,0.0,4.0,10.0,,4.0,,16.0,19.0,28.0,4.0,0.0,0.0,32.0,25.0,11.0,2.0,0.0,2.0,22.0,0.0,19.0
125,Andrew Robertson,Liverpool,Defender,9.789473684210526,12.827586206896552,38,29,43.0,,0.0,0.0,2.0,19.0,,27.0,,2.0,4.0,,3.0,,10.0,8.0,,8.0,,,21.0,0.0,,14.0,4.0,,15.0,,24.0,,0.0,0.0,,41.0,14.0,33.0,12.0,4.0,4.0,0.0,18.0,6.0,4.0,4.0,0.0,9.0,0.0,6.0,13.0,0.0,0.0
126,Pascal Groß,Brighton,Midfielder,9.736842105263158,12.758620689655173,38,29,25.0,,32.0,,76.0,8.0,,2.0,2.0,2.0,0.0,,6.0,,0.0,4.0,,18.0,,0.0,,0.0,7.0,8.0,,,10.0,2.0,22.0,,0.0,0.0,1.0,,0.0,,0.0,0.0,8.0,10.0,0.0,0.0,17.0,38.0,20.0,8.0,0.0,0.0,9.0,21.0,14.0
127,Salomon Rondon,Everton,Forward,9.685714285714285,16.95,35,20,0.0,0.0,0.0,0.0,2.0,2.0,,22.0,,8.0,0.0,4.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,19.0,0.0,,0.0,,19.0,,26.0,,,,0.0,37.0,0.0,0.0,82.0,0.0,0.0,0.0,14.0,35.0,22.0,6.0,41.0,0.0,,,
128,Sergio Reguilon,Spurs,Defender,9.526315789473685,14.48,38,25,0.0,,0.0,0.0,0.0,0.0,,0.0,,2.0,17.0,,0.0,27.0,36.0,10.0,,17.0,,0.0,0.0,0.0,,0.0,53.0,,0.0,,33.0,,33.0,0.0,22.0,0.0,,,0.0,6.0,,57.0,24.0,0.0,1.0,4.0,2.0,2.0,2.0,2.0,10.0,0.0,2.0
129,Alex Iwobi,Everton,Midfielder,9.394736842105264,12.75,38,28,6.0,10.0,2.0,28.0,4.0,2.0,,6.0,,23.0,2.0,6.0,2.0,,17.0,0.0,,0.0,,2.0,,2.0,,49.0,0.0,,0.0,,0.0,,0.0,,,,2.0,0.0,17.0,0.0,38.0,6.0,0.0,23.0,0.0,48.0,0.0,3.0,8.0,2.0,22.0,4.0,23.0
130,Kenny McLean,Norwich,Midfielder,9.342105263157896,11.451612903225808,38,31,0.0,,0.0,0.0,0.0,0.0,,2.0,,2.0,10.0,,19.0,,,36.0,22.0,30.0,,8.0,,2.0,,3.0,4.0,,4.0,,0.0,,1.0,12.0,4.0,,24.0,6.0,4.0,9.0,0.0,10.0,4.0,49.0,0.0,0.0,2.0,24.0,35.0,20.0,9.0,0.0,0.0
131,Juraj Kucka,Watford,Midfielder,9.289473684210526,13.576923076923077,38,26,0.0,,0.0,0.0,0.0,76.0,,0.0,,5.0,7.0,,17.0,,,36.0,0.0,0.0,,1.0,0.0,0.0,,2.0,8.0,6.0,2.0,,12.0,,2.0,24.0,,,,18.0,7.0,15.0,0.0,0.0,21.0,12.0,30.0,7.0,8.0,16.0,4.0,3.0,12.0,0.0,2.0
132,Aymeric Laporte,Man City,Defender,9.157894736842104,10.545454545454543,38,33,17.0,,5.0,0.0,37.0,0.0,,4.0,,0.0,0.0,,2.0,,,10.0,,0.0,,4.0,,2.0,,0.0,4.0,,26.0,,0.0,,19.0,0.0,19.0,7.0,21.0,14.0,47.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,8.0,62.0,24.0,0.0
133,Miguel Almiron,Newcastle,Midfielder,9.131578947368421,11.566666666666666,38,30,4.0,,14.0,,2.0,2.0,,4.0,92.0,4.0,30.0,,0.0,,10.0,7.0,0.0,0.0,,7.0,,0.0,,0.0,0.0,,0.0,,0.0,,,,9.0,4.0,0.0,10.0,82.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,12.0,12.0,10.0,0.0,2.0,18.0
