chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,full_name
100.0,100.0,60586,0,0,-1,1,0,3,4.1,1.8,8,Johann Berg,2.3,90,False,,2020-12-11T16:00:20.140410Z,54,60586.jpg,2.3,Gudmundsson,0.1,False,,a,4,90,25,12959,2122,15080,169,0.4,4.6,Gudmundsson,637,1,0,2,9,0,0,0,1,0,0,2,82,85.2,70.4,78.0,23.4,326,140,242,149,235,121,314,144,3.0,,3.0,,,,Johann Berg Gudmundsson
50.0,25.0,60689,0,0,-3,3,0,4,2.0,0.4,0,Chris,2.3,91,False,Hamstring injury - 50% chance of playing,2021-01-31T17:30:27.524314Z,62,60689.jpg,3.1,Wood,1.0,False,,d,4,90,63,263237,1074,353384,4910,0.4,10.2,Wood,1680,4,0,7,24,0,0,0,0,0,0,7,146,212.8,177.8,515.0,89.7,195,21,133,19,31,15,65,17,,,,,1.0,,Chris Wood
100.0,100.0,68983,1,-1,0,0,0,2,3.7,1.6,2,Matthew,2.1,92,False,,2020-09-30T20:00:20.120303Z,45,68983.jpg,3.0,Lowton,2.0,False,,a,4,90,54,247940,27206,108571,2748,0.5,12.0,Lowton,1620,0,0,6,21,0,0,0,2,0,0,2,268,258.4,110.3,56.0,42.6,167,64,194,44,279,91,222,68,,,,,,,Matthew Lowton
100.0,100.0,81183,0,0,-2,2,0,4,1.7,0.6,2,Matej,1.1,93,False,,2020-12-22T01:00:16.206209Z,48,81183.jpg,1.2,Vydra,0.7,False,,a,4,90,17,105374,5293,117899,1913,0.2,3.5,Vydra,455,0,0,0,6,0,0,0,0,0,0,0,43,22.2,67.7,181.0,26.5,410,46,250,38,126,40,299,42,,,,,,,Matej Vydra
0.0,0.0,83312,0,0,-1,1,0,2,0.0,0.0,0,Ben,0.0,94,False,Joined Norwich City on loan until the end of the season on 4/9. - Expected back 01 Jul,2020-09-05T11:00:07.592134Z,39,83312.jpg,0.0,Gibson,0.1,False,,u,4,90,0,6239,0,19311,86,0.0,0.0,Gibson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,480,181,459,181,427,161,490,181,,,,,,,Ben Gibson
50.0,25.0,90517,0,0,0,0,0,3,1.4,0.3,0,Robbie,1.6,95,False,Achilles injury - 50% chance of playing,2021-02-02T14:00:22.286261Z,50,90517.jpg,2.7,Brady,0.1,False,,d,4,90,41,12873,25,14569,323,0.3,8.2,Brady,958,1,1,7,5,0,0,0,2,0,0,3,147,161.8,129.3,163.0,45.5,237,98,176,109,142,79,210,102,4.0,,1.0,,,,Robbie Brady
100.0,100.0,98747,0,0,0,0,2,1,7.3,3.4,2,Nick,3.9,96,False,,2020-11-26T14:00:20.660503Z,55,98747.jpg,4.9,Pope,13.8,False,,a,4,90,102,740897,93156,860613,12461,0.7,18.5,Pope,1890,0,0,7,24,0,0,0,0,0,85,17,447,634.2,10.0,0.0,64.4,7,2,390,5,654,72,124,2,,,,,,,Nick Pope
50.0,50.0,103914,0,0,-1,1,0,2,-0.2,-0.2,0,Charlie,0.1,97,False,Hamstring injury - 50% chance of playing,2021-01-21T23:00:28.895395Z,44,103914.jpg,3.2,Taylor,1.8,False,,d,4,90,52,592903,143,798822,6613,0.0,11.8,Taylor,1316,0,2,5,20,0,0,0,1,0,0,3,257,264.2,137.0,35.0,43.6,163,63,165,39,319,110,216,65,,,,,,,Charlie Taylor
50.0,50.0,172782,0,0,-1,1,0,3,0.9,0.3,0,Josh,1.1,98,False,Foot injury - 50% chance of playing,2021-01-25T21:30:18.982874Z,49,172782.jpg,2.3,Brownhill,0.0,False,,d,4,90,41,7313,14,8509,108,0.2,8.4,Brownhill,1575,0,0,7,18,0,0,0,1,0,0,0,203,222.0,156.5,194.0,57.4,184,71,156,99,112,61,154,80,,,2.0,,,,Josh Brownhill
100.0,100.0,220037,0,0,0,0,0,1,-0.5,-0.5,0,Bailey,0.0,99,False,,2021-01-11T12:00:21.252081Z,40,220037.jpg,0.0,Peacock-Farrell,1.3,False,,a,4,90,0,81018,488,81618,1714,0.0,0.0,Peacock-Farrell,90,0,0,0,5,0,0,0,0,0,1,0,9,6.4,0.0,0.0,0.6,450,34,486,25,458,20,465,34,,,,,,,Bailey Peacock-Farrell
