Name,GW24*,GW25,GW25*,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
Bobby Decordova-Reid,20.826687842320116,18.603803926242218,,18.53142879291854,11.790555678521642,9.102165899964938,20.413281387496088,18.442662850602172,15.405079063900946,14.230908093249822,,11.860707938599603,20.826687842320116,15.937459706015154,15.886045604711374,20.298474084345376
Jayden Bogle,,18.030986172590065,,12.112664678000401,16.37285896454961,15.240400837542385,,20.970956684834505,14.619685661718554,15.82593408884295,14.17418998858613,19.014332213252878,19.037693310906658,18.898462024748397,20.853012933618153,21.395657089084853
Matej Vydra,16.15770741178354,21.81944657635828,,17.038891472238245,13.100814404338458,16.935059292140984,,14.671846681672033,18.686547613670577,14.624515436572771,14.181743032692031,13.644527444978143,16.15770741178354,18.792237929494732,10.85425333760669,17.126453270259614
Karlan Grant,,21.892046709523573,,14.503038070192842,21.33681294649101,19.479377028180796,,12.467425169364507,16.75271723265841,15.59398552791121,19.386070393438036,16.19310343460035,14.958869458988147,12.39368437265056,15.579695931835909,21.457493049933216
Antwoine Hackford,,17.623405376777075,,11.838864373257218,16.00275924717257,14.89589973025868,,20.496919428483107,14.289215488900323,15.468197315675209,13.853790007117864,18.584523406283065,18.60735643882262,18.471272401398913,20.38164173266283,20.912019707311053
Solomon March,,17.66482575712405,,22.593239369118173,14.141367909823328,15.192160942578042,19.349237009316845,15.143151168364762,17.535634874081673,11.306054240758993,17.733816342447938,19.458675468081427,14.68467652869372,14.128409424321214,8.676512557777476,13.565414444943796
Stuart Dallas,,14.064471192719315,14.550522070713358,16.837713023307646,13.531697954601524,10.828544562201673,16.024095903413052,16.984830996990368,8.310061218146831,10.764497215422214,14.503582217715065,12.596570013212725,16.89799326604183,19.014271201273225,14.550522070713358,21.639016946425112
James Rodriguez,9.429313177131638,12.21432824308516,,16.510279033313612,12.287001894348892,21.575234319597804,,19.197479767844765,14.293156270963745,19.173922596698084,14.742391061752317,19.10552342703939,15.354233197904573,19.272456186188037,15.958763728153478,9.429313177131638
Kelechi Iheanacho,,18.8331556806814,,14.53222399437248,14.089393480756423,18.99770865161978,,9.294889182438864,15.13534372810603,24.203463639319747,18.92380109475901,16.2749090101254,20.728260642593234,16.222406300409336,12.111838778392391,18.900579753909795
Naby Keita,,16.843914002750328,,17.03427788943424,16.07074586694738,14.105416221519986,,13.030305202124394,16.886731620255226,18.691097216915313,18.585975731365405,14.54580560339946,14.59288210950092,21.70201328378817,19.06962627799754,16.968008746940143
Hakim Ziyech,,16.06502330682413,,16.01319768649438,18.54314103285659,20.5766695137188,,23.891329114628714,18.679754550508854,13.907692786887283,14.940154172139627,17.69197509945394,9.175019734815542,14.344812436391244,14.953857184660324,18.590278124624845
Leander Dendoncker,,19.035906366198525,,18.928845623173085,17.19825423963814,10.99499436867944,,13.821448399499562,16.36721536504158,17.348522409140344,19.421418446095327,22.10236713414126,12.866296826341637,17.259825246266804,17.154646732374772,14.81414334716809
Callum Hudson-Odoi,,15.955554848888921,,15.904082372817394,18.41678646645645,20.4364583084134,,23.72853153218823,18.55246908778663,13.8129245656566,14.838350669754188,17.571420451323263,9.112500356990006,14.24706564407165,14.851960308762687,18.46360236200551
Ayoze Perez,,18.478780535372938,,14.25877757482509,13.824279606761698,18.64023718597202,,9.119991371339067,14.85054867177657,23.7480377887837,18.567720314859617,15.968671258835458,20.33822614695395,15.917156469343714,11.883935674960378,18.544935919691586
Said Benrahma,,16.893066987899253,,8.307638582967735,18.631407724659567,14.499353983099079,12.988693289649383,14.060370972300667,13.540160621133637,18.52662194161149,10.825387712654342,19.008727963852003,16.79012343803625,12.592897730560546,21.632708515919088,14.546280151704899
Lewis Dunk,,16.206322891138896,,20.727820212155468,12.973780642957149,13.937814560682837,17.751660105885833,13.89285129658713,16.087798701092375,10.372565694658823,16.269617243292736,17.8520627378638,13.47223078495197,12.96189207959882,7.960133092377368,12.44538098872656
Ruben Diogo da Silva Neves,,17.676722024773063,,17.577305534808247,15.970280251287495,10.209939856827763,,12.834582007165475,15.198578452832118,16.10981911066004,18.034708124433035,20.524234171136946,11.947629291311733,16.027455021325917,15.929786367294843,13.756397459908609
Andy Carroll,,13.934706776915117,,13.512819047113258,20.790267643039947,16.177285738902167,12.1024935008542,16.235201603709424,18.26847256003119,13.000942826444748,10.342280275738615,12.482875624494808,13.01286720689484,7.984114864509198,16.31863328974231,15.39558120382797
Alireza Jahanbakhsh,,15.917326404045184,,20.358194895748976,12.742427913820233,13.689270861235547,17.435106656646116,13.645109396873144,15.800915776389658,10.187598687149416,15.97949207046641,17.533718875824615,13.231989528726247,12.730751351239023,7.818185377528783,12.223450856244046
Carlos Vinicius Alves Morais,,13.974000786886162,,19.635779753589933,17.47176781310738,13.417158749785372,,19.137770224041397,14.977652472216056,17.34398885037539,,17.54000440398251,19.246012635693152,14.524188477571217,17.38807766966545,13.98681764978735
Gareth Bale,,13.94849197779113,,19.599935662494957,17.43987401286404,13.392666426765956,,19.10283522335013,14.95031154935279,17.31232830395938,,17.50798604140398,19.210880044128885,14.497675329562645,17.35633664141094,13.96128544417804
Jannik Vestergaard,,10.327558028142457,17.77460073762323,16.01799203028054,16.19902164247508,12.013785141644483,,18.134569061057714,20.637879994162898,16.136001931251748,,12.917486027929028,10.266473855046629,15.282735305784302,17.77460073762323,12.905649050312428
Jordan Ayew,,13.035424377278913,,16.582362511708144,17.486705755313512,22.392902886095985,,17.3801446692093,11.205802342107058,15.057450552313986,14.01597500507461,8.599577064715827,17.576568842938702,17.424325397423924,13.445128576404153,11.139523637298266
Nathan Redmond,,10.01763479371733,17.241196641881704,15.537302608299788,15.712899640712626,11.653259338870884,,17.59036255231736,20.01855076821818,15.65177110963872,,12.529840755008957,9.958383716542768,14.824110455270276,17.241196641881704,12.518358997317412
Paul Pogba,,18.571214352037753,,10.851443738055382,8.327634545023434,13.560313502081776,,12.623208041087034,16.93372753459022,19.054480773064427,18.67625234785615,10.787260950040174,16.87331981693353,13.572750933688079,16.057982136958213,14.094213398357523
Romain Saiss,,16.453321745651323,,16.36078583916809,14.86498226166612,9.50331318401173,,11.946304690365915,14.146689697926655,14.994863681199682,16.786531741821523,19.103758486870408,11.120737688369218,14.918199984152078,14.827290946436495,12.804321590379407
Trent Alexander-Arnold,,14.341385441422656,,14.503466646100824,13.683088192649848,12.00975086974933,,11.094370898149178,14.377841573662518,15.914129546560003,15.824626136473727,12.384710862350346,12.42479313296312,18.477708762159494,16.236419910003658,14.447043221282506
Jack Cork,13.39667417899713,18.090933886841587,,14.127281278679371,10.862143841423949,14.04119196844446,,12.164717715782935,15.493385511368658,12.125474446120888,11.75836310544172,11.312947056675245,13.39667417899713,15.581015438615571,8.999475712387468,14.199880493946997
Timothy Fosu-Mensah,,18.11701487347807,,10.586048056652151,8.123964112046593,13.228666513091227,,12.31448000632699,16.5195763611405,18.58846196205427,18.21948393642943,10.52343499845086,16.46064604573337,13.240799760229939,15.665249223801846,13.74950872504463
Virgil van Dijk,,14.243737543410301,,14.404715166498757,13.589922521467848,11.927978649563697,,11.018831334527615,14.279945452443458,15.805773118565991,15.71687912100095,12.300385607434158,12.340194965120292,18.35189738723487,16.12586906525204,14.348675918568695
Curtis Jones,,14.172081269867963,,14.332249059402617,13.521555409068476,11.867972313564076,,10.963398665270867,14.208107027002704,15.726258679418237,15.63781188277826,12.238505795827386,12.278114883730732,18.259574106551497,16.044744312614192,14.276491729309537
Tariq Lamptey,,14.596179185007395,,18.668453045364306,11.684799090059053,12.553053529888986,15.987982806298902,12.512557492392252,14.48943070620084,9.34202215422238,14.653185065467886,16.078410154738197,12.133726810197642,11.674091688867795,7.169271507997334,11.208897425859666
Davy Propper,,14.518926030487735,,18.5696465789955,11.622954988380531,12.486614020497777,15.90336325685809,12.446332316259255,14.412742539040096,9.292577661121916,14.575630196092858,15.993312000737026,12.069506670098898,11.612304258219977,7.13132672583341,11.149572127515535
Jeffrey Schlupp,,12.029521934686988,,15.302754079201254,16.1373120169082,20.6649134430281,,16.03897391255703,10.341086041287953,13.895514749427491,12.934406573939654,7.93597491995306,16.220240654474473,16.079745353805585,12.407610557463324,10.279921854359777
Billy Sharp,,14.060096420559328,,9.445142470436783,12.767131731914526,11.884070189658326,,16.35260934692359,11.400052558107236,12.340653866886388,11.052666560512401,14.826884216532019,14.845100595955655,14.736531641966911,16.26063986181438,16.68377973197373
Harry Maguire,,16.893770473144073,,9.871287700302103,7.575441428923822,12.335478957137196,,11.483017493547557,15.404189559243179,17.333385882208944,16.98932091797109,9.81290221895977,15.349238165244186,12.346792978441854,14.607545814786908,12.821154375682362
Joelinton Cassio Apolinario de Lira,,11.999501867298408,,11.636204477364492,17.902985645710164,13.930639053945765,10.421740169161755,13.980511759487886,15.7314089278105,11.195415893573625,8.905979398607977,10.74929611102585,11.20568425642962,6.87530801754069,14.052356735372271,13.257494998712545
